Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
31,2023,2023-12-17,14,15,23.248,GNB,,TAM,L 20-34,*,3,3,30,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,54,90%,0,0%,0,0%,
32,2023,2023-12-24,15,16,23.255,GNB,@,CAR,W 33-30,*,5,4,79,19.75,1,80.0%,15.80,0,0,,0,0,0,,0,1,6,1,0,0,0,0,0,58,88%,0,0%,0,0%,
33,2023,2023-12-31,16,17,23.262,GNB,@,MIN,W 33-10,*,6,3,28,9.33,0,50.0%,4.67,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,56,76%,0,0%,0,0%,
34,2023,2024-01-07,17,18,23.269,GNB,,CHI,W 17-9,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,11,18%,0,0%,0,0%,
35,2024,2024-09-06,1,1,24.146,GNB,@,PHI,L 29-34,*,7,4,50,12.50,0,57.1%,7.14,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,58,87%,0,0%,0,0%,
36,2024,2024-09-15,2,2,24.155,GNB,,IND,W 16-10,*,3,3,62,20.67,0,100.0%,20.67,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,55,79%,0,0%,1,5%,
37,2024,2024-09-22,3,3,24.162,GNB,@,TEN,W 30-14,*,2,1,18,18.00,0,50.0%,9.00,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,46,73%,0,0%,0,0%,
38,2024,2024-09-29,4,4,24.169,GNB,,MIN,L 29-31,*,8,4,39,9.75,0,50.0%,4.88,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,65,86%,0,0%,0,0%,
39,2024,2024-10-06,5,5,,GNB,@,LAR,W 24-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
40,2024,2024-10-13,6,6,24.183,GNB,,ARI,W 34-13,,4,3,49,16.33,2,75.0%,12.25,0,0,,0,0,0,,0,2,12,0,0,0,0,0,0,54,74%,0,0%,0,0%,
41,2024,2024-10-20,7,7,24.190,GNB,,HOU,W 24-22,*,10,8,94,11.75,0,80.0%,9.40,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,48,83%,0,0%,0,0%,
42,2024,2024-10-27,8,8,24.197,GNB,@,JAX,W 30-27,*,6,3,72,24.00,0,50.0%,12.00,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,59,84%,0,0%,0,0%,
43,2024,2024-11-03,9,9,24.204,GNB,,DET,L 14-24,*,5,4,28,7.00,0,80.0%,5.60,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,54,83%,0,0%,0,0%,
44,2024,2024-11-17,10,11,24.218,GNB,@,CHI,W 20-19,*,2,1,17,17.00,0,50.0%,8.50,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,36,78%,0,0%,0,0%,
45,2024,2024-11-24,11,12,24.225,GNB,,SFO,W 38-10,*,6,3,54,18.00,0,50.0%,9.00,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,37,51%,0,0%,0,0%,
