Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
66,2023,2023-09-17,2,2,,GNB,@,ATL,L 24-25,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
67,2023,2023-09-24,3,3,27.164,GNB,,NOR,W 18-17,,0,0,,0,0,0,,0,0.0,4,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,30,49%,18,72%,
68,2023,2023-09-28,4,4,27.168,GNB,,DET,L 20-34,,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,50,67%,18,60%,
69,2023,2023-10-09,5,5,27.179,GNB,@,LVR,L 13-17,,0,0,,0,0,0,,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,12,50%,
70,2023,2023-10-22,6,7,,GNB,@,DEN,L 17-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
71,2023,2023-10-29,7,8,27.199,GNB,,MIN,L 10-24,,0,0,,0,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,13,57%,
72,2023,2023-11-05,8,9,27.206,GNB,,LAR,W 20-3,,0,0,,0,0,0,,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,14,61%,
73,2023,2023-11-12,9,10,27.213,GNB,@,PIT,L 19-23,*,0,0,,0,0,0,,0,0.0,3,3,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,65,100%,1,3%,
74,2023,2023-11-19,10,11,27.220,GNB,,LAC,W 23-20,*,0,0,,0,0,0,,0,0.0,4,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,65,100%,1,4%,
75,2023,2023-11-23,11,12,27.224,GNB,@,DET,W 29-22,*,0,0,,0,0,0,,0,0.0,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,84,100%,1,4%,
76,2023,2023-12-03,12,13,27.234,GNB,,KAN,W 27-19,*,0,0,,0,0,0,,0,0.0,5,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,67,100%,0,0%,
77,2023,2023-12-11,13,14,27.242,GNB,@,NYG,L 22-24,*,0,0,,0,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,55,98%,0,0%,
78,2023,2023-12-17,14,15,27.248,GNB,,TAM,L 20-34,,0,0,,0,0,0,,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,15,24%,6,24%,
79,2023,2023-12-24,15,16,27.255,GNB,@,CAR,W 33-30,,0,0,,0,0,0,,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,20,67%,
80,2023,2023-12-31,16,17,27.262,GNB,@,MIN,W 33-10,*,0,0,,0,0,0,,0,0.0,4,1,5,0,0,1,0,0,3,0,0,0,0,0,0,0,0%,53,100%,1,4%,
81,2023,2024-01-07,17,18,27.269,GNB,,CHI,W 17-9,,,,,,,,,,,,,,,,,,,,,,,,,,0,0%,4,8%,9,50%,
82,2024,2024-09-06,1,1,28.146,GNB,@,PHI,L 29-34,,,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,18,58%,
83,2024,2024-09-15,2,2,28.155,GNB,,IND,W 16-10,,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,13,59%,
84,2024,2024-09-22,3,3,28.162,GNB,@,TEN,W 30-14,,,,,,,,,,,,,,,,,,,,,,,,,,0,0%,1,2%,18,64%,
85,2024,2024-09-29,4,4,28.169,GNB,,MIN,L 29-31,*,0,0,,0,0,0,,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,37,54%,7,24%,
86,2024,2024-10-06,5,5,28.176,GNB,@,LAR,W 24-19,,0,0,,0,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,2,3%,18,82%,
87,2024,2024-10-13,6,6,28.183,GNB,,ARI,W 34-13,,,,,,,,,,,,,,,,,,,,,,,,,,0,0%,1,2%,20,74%,
88,2024,2024-10-20,7,7,28.190,GNB,,HOU,W 24-22,,0,0,,0,1,0,0.00,0,0.0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0%,2,3%,20,69%,
89,2024,2024-10-27,8,8,,GNB,@,JAX,W 30-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
90,2024,2024-11-03,9,9,28.204,GNB,,DET,L 14-24,,,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,15,68%,
91,2024,2024-11-17,10,11,28.218,GNB,@,CHI,W 20-19,,0,0,,0,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,1,1%,12,67%,
92,2024,2024-11-24,11,12,28.225,GNB,,SFO,W 38-10,,1,21,21.00,0,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,1,2%,19,76%,
