Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
31,2020,2020-12-26,15,16,22.319,LVR,,MIA,L 25-26,*,13,69,5.31,0,2,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,32,50%,0,0%,0,0%,
32,2020,2021-01-03,16,17,22.327,LVR,@,DEN,W 32-31,*,15,89,5.93,2,1,0,0,,0,0.0%,0.00,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,38,55%,0,0%,0,0%,
33,2021,2021-09-13,1,1,23.214,LVR,,BAL,W 33-27,*,10,34,3.40,2,2,1,6,6.00,0,50.0%,3.00,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,45,52%,0,0%,0,0%,
34,2021,2021-09-19,2,2,,LVR,@,PIT,W 26-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
35,2021,2021-09-26,3,3,,LVR,,MIA,W 31-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
36,2021,2021-10-04,4,4,23.235,LVR,@,LAC,L 14-28,*,13,40,3.08,0,5,5,17,3.40,0,100.0%,3.40,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,36,63%,0,0%,0,0%,
37,2021,2021-10-10,5,5,23.241,LVR,,CHI,L 9-20,*,15,48,3.20,1,5,4,19,4.75,0,80.0%,3.80,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,46,69%,0,0%,0,0%,
38,2021,2021-10-17,6,6,23.248,LVR,@,DEN,W 34-24,*,16,53,3.31,1,1,1,29,29.00,0,100.0%,29.00,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,36,64%,0,0%,1,3%,
39,2021,2021-10-24,7,7,23.255,LVR,,PHI,W 33-22,*,6,29,4.83,1,3,3,39,13.00,0,100.0%,13.00,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,24,36%,0,0%,0,0%,
40,2021,2021-11-07,8,9,23.269,LVR,@,NYG,L 16-23,*,13,76,5.85,0,4,4,19,4.75,0,100.0%,4.75,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,34,49%,0,0%,0,0%,
41,2021,2021-11-14,9,10,23.276,LVR,,KAN,L 14-41,*,7,16,2.29,0,5,5,20,4.00,0,100.0%,4.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,57%,0,0%,0,0%,
42,2021,2021-11-21,10,11,23.283,LVR,,CIN,L 13-32,,9,37,4.11,0,7,5,24,4.80,0,71.4%,3.43,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,66%,0,0%,0,0%,
43,2021,2021-11-25,11,12,23.287,LVR,@,DAL,W 36-33,*,22,87,3.95,1,4,2,25,12.50,0,50.0%,6.25,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,57,66%,0,0%,1,2%,
44,2021,2021-12-05,12,13,23.297,LVR,,WAS,L 15-17,*,13,52,4.00,1,9,9,38,4.22,0,100.0%,4.22,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,50,85%,0,0%,0,0%,
45,2021,2021-12-12,13,14,23.304,LVR,@,KAN,L 9-48,*,9,24,2.67,0,6,5,46,9.20,0,83.3%,7.67,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,47,75%,0,0%,0,0%,
46,2021,2021-12-20,14,15,23.312,LVR,@,CLE,W 16-14,*,15,52,3.47,0,4,3,42,14.00,0,75.0%,10.50,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,65%,0,0%,0,0%,
47,2021,2021-12-26,15,16,23.318,LVR,,DEN,W 17-13,*,27,129,4.78,0,3,1,-5,-5.00,0,33.3%,-1.67,0,0,0.0,1,0,1,0,0,1,1,0,0,0,0,48,70%,0,0%,0,0%,
48,2021,2022-01-02,16,17,23.325,LVR,@,IND,W 23-20,*,16,63,3.94,1,4,4,17,4.25,0,100.0%,4.25,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,38,61%,0,0%,0,0%,
49,2021,2022-01-09,17,18,23.332,LVR,,LAC,W 35-32,*,26,132,5.08,1,2,2,12,6.00,0,100.0%,6.00,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,57,71%,0,0%,1,3%,
50,2022,2022-09-11,1,1,24.212,LVR,@,LAC,L 19-24,*,10,57,5.70,0,1,1,16,16.00,0,100.0%,16.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,60%,0,0%,0,0%,
51,2022,2022-09-18,2,2,24.219,LVR,,ARI,L 23-29,*,19,69,3.63,0,1,1,12,12.00,0,100.0%,12.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,48,72%,0,0%,0,0%,
52,2022,2022-09-25,3,3,24.226,LVR,@,TEN,L 22-24,*,13,66,5.08,0,5,5,31,6.20,0,100.0%,6.20,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,45,64%,0,0%,0,0%,
53,2022,2022-10-02,4,4,24.233,LVR,,DEN,W 32-23,*,28,144,5.14,2,6,5,31,6.20,0,83.3%,5.17,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,67,89%,0,0%,0,0%,
54,2022,2022-10-10,5,5,24.241,LVR,@,KAN,L 29-30,*,21,154,7.33,1,5,5,39,7.80,0,100.0%,7.80,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,52,81%,0,0%,0,0%,
55,2022,2022-10-23,6,7,24.254,LVR,,HOU,W 38-20,*,20,143,7.15,3,4,3,12,4.00,0,75.0%,3.00,3,18,0.0,0,0,0,0,0,0,0,0,0,0,0,45,80%,0,0%,0,0%,
56,2022,2022-10-30,7,8,24.261,LVR,@,NOR,L 0-24,*,10,43,4.30,0,4,2,11,5.50,0,50.0%,2.75,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,32,55%,0,0%,0,0%,
