Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct
35,2014,2014-09-21,3,3,25.350,JAX,,IND,L 17-44,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,232,46.40,0,212,42.4,1,20.0%,1,20.0%,0,0,0%,0,0%,8,26%
36,2014,2014-09-28,4,4,25.357,JAX,@,SDG,L 14-33,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,2,111,55.50,2,89,44.5,1,50.0%,0,0.0%,0,0,0%,0,0%,4,16%
37,2014,2014-10-05,5,5,25.364,JAX,,PIT,L 9-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,225,45.00,20,205,41.0,0,0.0%,1,20.0%,0,0,0%,0,0%,8,31%
38,2014,2014-10-12,6,6,26.006,JAX,@,TEN,L 14-16,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,6,286,47.67,16,250,41.7,1,16.7%,1,16.7%,0,0,0%,0,0%,9,35%
39,2014,2014-10-19,7,7,26.013,JAX,,CLE,W 24-6,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,8,345,43.13,6,299,37.4,2,25.0%,3,37.5%,0,0,0%,0,0%,12,41%
40,2014,2014-10-26,8,8,26.020,JAX,,MIA,L 13-27,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,187,46.75,10,177,44.3,0,0.0%,2,50.0%,0,0,0%,0,0%,10,32%
41,2014,2014-11-02,9,9,26.027,JAX,@,CIN,L 23-33,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,6,250,41.67,60,190,27.1,0,0.0%,1,16.7%,1,0,0%,0,0%,11,34%
42,2014,2014-11-09,10,10,26.034,JAX,,DAL,L 17-31,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,6,283,47.17,24,239,39.8,1,16.7%,1,16.7%,0,0,0%,0,0%,7,24%
43,2014,2014-11-23,11,12,26.048,JAX,@,IND,L 3-23,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,7,346,49.43,48,298,42.6,0,0.0%,3,42.9%,0,0,0%,0,0%,8,33%
44,2014,2014-11-30,12,13,26.055,JAX,,NYG,W 25-24,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,7,367,52.43,48,319,45.6,0,0.0%,2,28.6%,0,0,0%,0,0%,10,32%
45,2014,2014-12-07,13,14,26.062,JAX,,HOU,L 13-27,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,193,48.25,21,152,38.0,1,25.0%,2,50.0%,0,0,0%,0,0%,7,26%
46,2014,2014-12-14,14,15,26.069,JAX,@,BAL,L 12-20,,1,1,100.00,19,0,0,118.7,0,0,19.00,19.00,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,267,53.40,49,198,33.0,1,20.0%,1,20.0%,1,0,0%,0,0%,12,36%
47,2014,2014-12-18,15,16,26.073,JAX,,TEN,W 21-13,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,7,321,45.86,27,274,39.1,1,14.3%,1,14.3%,0,0,0%,0,0%,10,38%
48,2014,2014-12-28,16,17,26.083,JAX,@,HOU,L 17-23,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,6,296,49.33,12,264,44.0,1,16.7%,2,33.3%,0,0,0%,0,0%,11,39%
49,2015,2015-09-13,1,1,26.342,JAX,,CAR,L 9-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,5,231,46.20,46,185,37.0,0,0.0%,2,40.0%,0,0,0%,0,0%,8,31%
50,2015,2015-09-20,2,2,26.349,JAX,,MIA,W 23-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,7,317,45.29,25,272,38.9,1,14.3%,1,14.3%,0,0,0%,0,0%,12,35%
51,2015,2015-09-27,3,3,26.356,JAX,@,NWE,L 17-51,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,195,48.75,26,169,42.3,0,0.0%,1,25.0%,0,0,0%,0,0%,8,26%
