Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Ret,Yds,Y/R,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
61,2020,2020-09-20,2,2,30.229,DAL,,ATL,W 40-39,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,23,62%,
62,2020,2020-09-27,3,3,30.236,DAL,@,SEA,L 31-38,,,,,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,29,85%,
63,2020,2020-10-04,4,4,30.243,DAL,,CLE,L 38-49,,0,0,,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,1,1%,29,94%,
64,2020,2020-10-11,5,5,30.250,DAL,,NYG,W 37-34,,0,0,,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,27,80%,
65,2020,2020-10-19,6,6,30.258,DAL,,ARI,L 10-38,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,17,63%,
66,2020,2020-10-25,7,7,30.264,DAL,@,WAS,L 3-25,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,19,95%,
67,2020,2020-11-01,8,8,30.271,DAL,@,PHI,L 9-23,,,,,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,17,81%,
68,2020,2020-11-08,9,9,30.278,DAL,,PIT,L 19-24,,0,73,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,19,70%,
69,2020,2020-11-22,10,11,30.292,DAL,@,MIN,W 31-28,,,,,,,,,,,,,,,,0,,,0,0,0,0,0%,1,2%,18,69%,
70,2020,2020-11-26,11,12,30.296,DAL,,WAS,L 16-41,,,,,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,17,59%,
71,2020,2020-12-08,12,13,30.308,DAL,@,BAL,L 17-34,,,,,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,14,50%,
72,2020,2020-12-13,13,14,30.313,DAL,@,CIN,W 30-7,,,,,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,12,57%,
73,2020,2020-12-20,14,15,30.320,DAL,,SFO,W 41-33,,0,0,,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,28,74%,
74,2020,2020-12-27,15,16,30.327,DAL,,PHI,W 37-17,,0,0,,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,16,22%,19,61%,
75,2020,2021-01-03,16,17,30.334,DAL,@,NYG,L 19-23,,,,,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,20,67%,
76,2021,2021-09-09,1,1,31.217,DAL,@,TAM,L 29-31,,,,,,,,,,,,,,,,,,,,,,1,1%,0,0%,22,65%,
77,2021,2021-09-19,2,2,31.227,DAL,@,LAC,W 20-17,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,10,53%,
78,2021,2021-09-27,3,3,31.235,DAL,,PHI,W 41-21,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,16,53%,
79,2021,2021-10-03,4,4,31.241,DAL,,CAR,W 36-28,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,19,66%,
80,2021,2021-10-10,5,5,31.248,DAL,,NYG,W 44-20,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,17,57%,
81,2021,2021-10-17,6,6,31.255,DAL,@,NWE,W 35-29,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,19,68%,
82,2021,2021-10-31,7,8,31.269,DAL,@,MIN,W 20-16,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,21,70%,
83,2021,2021-11-07,8,9,31.276,DAL,,DEN,L 16-30,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,16,70%,
84,2021,2021-11-14,9,10,31.283,DAL,,ATL,W 43-3,,0,0,,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,17,68%,
85,2021,2021-11-21,10,11,31.290,DAL,@,KAN,L 9-19,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,24,89%,
86,2021,2021-11-25,11,12,31.294,DAL,,LVR,L 33-36,,0,0,,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,27,65%,
87,2021,2021-12-02,12,13,31.301,DAL,@,NOR,W 27-17,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,23,72%,
88,2021,2021-12-12,13,14,31.311,DAL,@,WAS,W 27-20,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,25,83%,
89,2021,2021-12-19,14,15,31.318,DAL,@,NYG,W 21-6,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,16,76%,
90,2021,2021-12-26,15,16,31.325,DAL,,WAS,W 56-14,,0,0,,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,25,76%,
91,2021,2022-01-02,16,17,31.332,DAL,,ARI,L 22-25,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,18,69%,
92,2021,2022-01-08,17,18,31.338,DAL,@,PHI,W 51-26,,0,0,,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,17,55%,
93,2022,2022-09-11,1,1,32.219,DAL,,TAM,L 3-19,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,17,71%,
94,2022,2022-09-18,2,2,32.226,DAL,,CIN,W 20-17,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,17,65%,
95,2022,2022-09-26,3,3,32.234,DAL,@,NYG,W 23-16,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,18,62%,
96,2022,2022-10-02,4,4,32.240,DAL,,WAS,W 25-10,,0,0,,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,22,74%,
97,2022,2022-10-09,5,5,32.247,DAL,@,LAR,W 22-10,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,22,73%,
98,2022,2022-10-16,6,6,32.254,DAL,@,PHI,L 17-26,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,14,58%,
99,2022,2022-10-23,7,7,32.261,DAL,,DET,W 24-6,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,15,68%,
100,2022,2022-10-30,8,8,32.268,DAL,,CHI,W 49-29,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,17,59%,
101,2022,2022-11-13,9,10,32.282,DAL,@,GNB,L 28-31,,0,0,,0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,0,0%,26,87%,
102,2022,2022-11-20,10,11,32.289,DAL,@,MIN,W 40-3,,0,0,,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,19,68%,
103,2022,2022-11-24,11,12,32.293,DAL,,NYG,W 28-20,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,14,61%,
104,2022,2022-12-04,12,13,32.303,DAL,,IND,W 54-19,,0,0,,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,20,65%,
105,2022,2022-12-11,13,14,32.310,DAL,,HOU,W 27-23,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,19,68%,
106,2022,2022-12-18,14,15,32.317,DAL,@,JAX,L 34-40,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,27,82%,
107,2022,2022-12-24,15,16,32.323,DAL,,PHI,W 40-34,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,23,74%,
108,2022,2022-12-29,16,17,32.328,DAL,@,TEN,W 27-13,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,20,80%,
109,2022,2023-01-08,17,18,32.338,DAL,@,WAS,L 6-26,,0,0,,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,33,97%,
110,2023,2023-09-10,1,1,33.218,DAL,@,NYG,W 40-0,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,16,23%,17,71%,
111,2023,2023-09-17,2,2,33.225,DAL,,NYJ,W 30-10,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,22,79%,
112,2023,2023-09-24,3,3,33.232,DAL,@,ARI,L 16-28,,0,0,,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,21,84%,
113,2023,2023-10-01,4,4,33.239,DAL,,NWE,W 38-3,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,19,73%,
114,2023,2023-10-08,5,5,33.246,DAL,@,SFO,L 10-42,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,7,26%,
115,2023,2023-10-16,6,6,,DAL,@,LAC,W 20-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
116,2023,2023-10-29,7,8,,DAL,,LAR,W 43-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
117,2023,2023-11-05,8,9,,DAL,@,PHI,L 23-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
118,2023,2023-11-12,9,10,,DAL,,NYG,W 49-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
119,2023,2023-11-19,10,11,,DAL,@,CAR,W 33-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
120,2023,2023-11-23,11,12,,DAL,,WAS,W 45-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
121,2023,2023-11-30,12,13,,DAL,,SEA,W 41-35,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
122,2023,2023-12-10,13,14,,DAL,,PHI,W 33-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
123,2023,2023-12-17,14,15,,DAL,@,BUF,L 10-31,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
