Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
23,2015,2015-10-25,7,7,22.030,NOR,@,IND,W 27-21,*,13,6,81,13.50,0,46.2%,6.23,0,0,,0,0,0,,0,0,0,,0,,0,0,1,0,0,0,0,0,75,85%,0,0%,0,0%,
24,2015,2015-11-01,8,8,22.037,NOR,,NYG,W 52-49,,8,6,88,14.67,2,75.0%,11.00,1,-3,-3.00,0,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,60,77%,0,0%,0,0%,
25,2015,2015-11-08,9,9,22.044,NOR,,TEN,L 28-34,*,6,4,71,17.75,1,66.7%,11.83,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,55,72%,0,0%,0,0%,
26,2015,2015-11-15,10,10,22.051,NOR,@,WAS,L 14-47,*,8,5,98,19.60,2,62.5%,12.25,1,11,11.00,0,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,51,89%,0,0%,0,0%,
27,2015,2015-11-29,11,12,22.065,NOR,@,HOU,L 6-24,*,8,5,35,7.00,0,62.5%,4.38,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,51,88%,0,0%,0,0%,
28,2015,2015-12-06,12,13,22.072,NOR,,CAR,L 38-41,*,10,6,104,17.33,1,60.0%,10.40,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,56,92%,0,0%,0,0%,
29,2015,2015-12-13,13,14,22.079,NOR,@,TAM,W 24-17,,5,3,29,9.67,0,60.0%,5.80,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,59,72%,0,0%,0,0%,
30,2015,2015-12-21,14,15,22.087,NOR,,DET,L 27-35,,13,10,124,12.40,1,76.9%,9.54,0,0,,0,0,0,,0,2,12,6.00,0,,1,6,0,0,0,0,0,0,66,86%,0,0%,4,13%,
31,2015,2015-12-27,15,16,22.093,NOR,,JAX,W 38-27,*,7,5,123,24.60,1,71.4%,17.57,4,10,2.50,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,50,64%,0,0%,0,0%,
32,2015,2016-01-03,16,17,22.100,NOR,@,ATL,W 20-17,*,6,5,22,4.40,0,83.3%,3.67,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,57,84%,0,0%,0,0%,
33,2016,2016-09-11,1,1,22.352,NOR,,OAK,L 34-35,*,9,6,143,23.83,2,66.7%,15.89,1,11,11.00,0,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,62,90%,0,0%,0,0%,
