Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds,Y/R,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2022,2022-09-11,1,1,,DAL,,TAM,L 3-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,2022,2022-09-18,2,2,,DAL,,CIN,W 20-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
32,2023,2023-12-24,15,16,24.300,DAL,@,MIA,L 20-22,,2,2,51,25.50,0,100.0%,25.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,24,36%,0,0%,20,77%,
33,2023,2023-12-30,16,17,24.306,DAL,,DET,W 20-19,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,25,38%,0,0%,14,54%,
34,2023,2024-01-07,17,18,24.314,DAL,@,WAS,W 38-10,*,3,2,8,4.00,1,66.7%,2.67,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,23,32%,0,0%,14,64%,
35,2024,2024-09-08,1,1,25.194,DAL,@,CLE,W 33-17,*,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,42,67%,0,0%,7,19%,
36,2024,2024-09-15,2,2,25.201,DAL,,NOR,L 19-44,*,9,6,82,13.67,0,66.7%,9.11,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,60,86%,0,0%,0,0%,
37,2024,2024-09-22,3,3,25.208,DAL,,BAL,L 25-28,*,5,3,42,14.00,1,60.0%,8.40,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,60,75%,0,0%,4,14%,
38,2024,2024-09-26,4,4,25.212,DAL,@,NYG,W 20-15,*,3,3,24,8.00,0,100.0%,8.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,39,70%,0,0%,3,12%,
39,2024,2024-10-06,5,5,25.222,DAL,@,PIT,W 20-17,*,10,7,87,12.43,1,70.0%,8.70,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,68,89%,0,0%,0,0%,
40,2024,2024-10-13,6,6,25.229,DAL,,DET,L 9-47,*,5,4,43,10.75,0,80.0%,8.60,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,64,93%,0,0%,0,0%,
41,2024,2024-10-27,7,8,25.243,DAL,@,SFO,L 24-30,*,3,3,44,14.67,0,100.0%,14.67,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,55,89%,0,0%,0,0%,
42,2024,2024-11-03,8,9,25.250,DAL,@,ATL,L 21-27,*,6,3,19,6.33,1,50.0%,3.17,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,73,95%,0,0%,0,0%,
43,2024,2024-11-10,9,10,25.257,DAL,,PHI,L 6-34,*,5,3,14,4.67,0,60.0%,2.80,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,93%,0,0%,0,0%,
44,2024,2024-11-18,10,11,25.265,DAL,,HOU,L 10-34,*,5,2,21,10.50,0,40.0%,4.20,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,66,80%,0,0%,0,0%,
