Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
37,2022,2022-11-27,12,12,26.075,NOR,@,SFO,L 0-13,*,2,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,27,47%,0,0%,6,35%,
38,2022,2022-12-05,13,13,,NOR,@,TAM,L 16-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
39,2022,2022-12-18,14,15,26.096,NOR,,ATL,W 21-18,*,6,4,67,16.75,2,66.7%,11.17,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,28,51%,0,0%,3,14%,
40,2022,2022-12-24,15,16,26.102,NOR,@,CLE,W 17-10,*,2,1,9,9.00,0,50.0%,4.50,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,27,50%,0,0%,5,23%,
41,2022,2023-01-01,16,17,26.110,NOR,@,PHI,W 20-10,*,7,5,62,12.40,0,71.4%,8.86,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,46,67%,0,0%,12,46%,
42,2022,2023-01-08,17,18,26.117,NOR,,CAR,L 7-10,*,1,1,21,21.00,0,100.0%,21.00,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,41,68%,0,0%,3,15%,
43,2023,2023-09-10,1,1,26.362,NOR,,TEN,W 16-15,*,5,3,36,12.00,0,60.0%,7.20,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,75%,0,0%,6,21%,
44,2023,2023-09-18,2,2,27.005,NOR,@,CAR,W 20-17,*,3,2,13,6.50,0,66.7%,4.33,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,62,81%,0,0%,1,4%,
45,2023,2023-09-24,3,3,27.011,NOR,@,GNB,L 17-18,*,4,2,12,6.00,0,50.0%,3.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,43,70%,0,0%,4,16%,
46,2023,2023-10-01,4,4,,NOR,,TAM,L 9-26,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
47,2023,2023-10-08,5,5,,NOR,@,NWE,W 34-0,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
48,2023,2023-10-15,6,6,,NOR,@,HOU,L 13-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
49,2023,2023-10-19,7,7,,NOR,,JAX,L 24-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
50,2023,2023-10-29,8,8,27.046,NOR,@,IND,W 38-27,*,2,1,5,5.00,0,50.0%,2.50,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,40,61%,0,0%,1,3%,
51,2023,2023-11-05,9,9,27.053,NOR,,CHI,W 24-17,*,5,5,29,5.80,1,100.0%,5.80,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,47,75%,0,0%,4,17%,
52,2023,2023-11-12,10,10,27.060,NOR,@,MIN,L 19-27,*,3,1,2,2.00,0,33.3%,0.67,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,76%,0,0%,4,14%,
53,2023,2023-11-26,11,12,27.074,NOR,@,ATL,L 15-24,*,7,4,45,11.25,0,57.1%,6.43,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,74%,0,0%,0,0%,
54,2023,2023-12-03,12,13,27.081,NOR,,DET,L 28-33,*,3,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,38,57%,0,0%,6,20%,
55,2023,2023-12-10,13,14,27.088,NOR,,CAR,W 28-6,,3,2,10,5.00,0,66.7%,3.33,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,21,40%,0,0%,0,0%,
56,2023,2023-12-17,14,15,27.095,NOR,,NYG,W 24-6,,2,2,38,19.00,1,100.0%,19.00,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,27,44%,0,0%,3,13%,
57,2023,2023-12-21,15,16,27.099,NOR,@,LAR,L 22-30,*,7,4,48,12.00,1,57.1%,6.86,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,43,72%,0,0%,7,29%,
58,2023,2023-12-31,16,17,27.109,NOR,@,TAM,W 23-13,*,12,8,90,11.25,1,66.7%,7.50,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,50,71%,0,0%,3,12%,
59,2023,2024-01-07,17,18,27.116,NOR,,ATL,W 48-17,*,3,3,40,13.33,0,100.0%,13.33,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,31,46%,0,0%,0,0%,
60,2024,2024-09-08,1,1,27.361,NOR,,CAR,W 47-10,,3,2,26,13.00,1,66.7%,8.67,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,23,35%,0,0%,4,13%,
61,2024,2024-09-15,2,2,28.002,NOR,@,DAL,W 44-19,,,,,,,0.0%,,0,0,,,,,,,,,,,,,24,41%,0,0%,6,22%,
62,2024,2024-09-22,3,3,28.009,NOR,,PHI,L 12-15,,,,,,,0.0%,,0,0,,,,,,,,,,,,,28,50%,0,0%,5,29%,
63,2024,2024-09-29,4,4,28.016,NOR,@,ATL,L 24-26,,3,2,13,6.50,0,66.7%,4.33,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,68%,0,0%,9,32%,
64,2024,2024-10-07,5,5,28.024,NOR,@,KAN,L 13-26,*,5,5,31,6.20,0,100.0%,6.20,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,79%,0,0%,2,8%,
65,2024,2024-10-13,6,6,28.030,NOR,,TAM,L 27-51,*,3,3,48,16.00,0,100.0%,16.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,77%,0,0%,5,14%,
66,2024,2024-10-17,7,7,28.034,NOR,,DEN,L 10-33,,6,3,18,6.00,0,50.0%,3.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,73%,0,0%,4,14%,
67,2024,2024-10-27,8,8,28.044,NOR,@,LAC,L 8-26,*,4,3,48,16.00,0,75.0%,12.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,32,44%,0,0%,7,21%,
68,2024,2024-11-03,9,9,28.051,NOR,@,CAR,L 22-23,,2,2,41,20.50,0,100.0%,20.50,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,65%,0,0%,6,21%,
69,2024,2024-11-10,10,10,28.058,NOR,,ATL,W 20-17,,3,2,22,11.00,0,66.7%,7.33,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,58%,0,0%,0,0%,
70,2024,2024-11-17,11,11,28.065,NOR,,CLE,W 35-14,,3,3,30,10.00,1,100.0%,10.00,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,34,57%,0,0%,4,16%,
