Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
27,2018,2018-11-22,11,12,23.120,NOR,,ATL,W 31-17,*,14,89,6.36,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,,,0,0,,0,1,7,7.00,0,,0,0,0,0,0,0,0,0,37,65%,0,0%,3,13%,
28,2018,2018-11-29,12,13,23.127,NOR,@,DAL,L 10-13,*,11,36,3.27,0,11,8,36,4.50,0,72.7%,3.27,0,0,,0,0,0,,0,0,,,0,0,,0,3,17,5.67,0,,0,0,1,0,0,0,0,0,36,69%,0,0%,3,15%,
29,2018,2018-12-09,13,14,23.137,NOR,@,TAM,W 28-14,*,12,51,4.25,0,6,5,36,7.20,0,83.3%,6.00,0,0,,0,0,0,,0,0,,,3,76,25.33,0,0,0,,0,1,0,2,0,0,0,0,0,0,41,64%,0,0%,3,12%,
30,2018,2018-12-17,14,15,23.145,NOR,@,CAR,W 12-9,*,14,67,4.79,1,9,7,36,5.14,0,77.8%,4.00,0,0,,0,0,0,,0,0,,,1,50,50.00,0,0,0,,0,,1,6,0,0,0,0,0,0,48,64%,0,0%,2,10%,
31,2018,2018-12-23,15,16,23.151,NOR,,PIT,W 31-28,,7,23,3.29,2,6,4,82,20.50,0,66.7%,13.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,40,61%,0,0%,6,21%,
32,2018,2018-12-30,,17,,NOR,,CAR,L 14-33,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
33,2019,2019-09-09,1,1,24.046,NOR,,HOU,W 30-28,*,13,97,7.46,0,8,7,72,10.29,0,87.5%,9.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,1,0,0,0,0,0,50,76%,0,0%,0,0%,
34,2019,2019-09-15,2,2,24.052,NOR,@,LAR,L 9-27,*,13,45,3.46,0,3,1,15,15.00,0,33.3%,5.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,40,63%,0,0%,0,0%,
35,2019,2019-09-22,3,3,24.059,NOR,@,SEA,W 33-27,*,16,69,4.31,1,10,9,92,10.22,1,90.0%,9.20,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,49,88%,0,0%,1,4%,
36,2019,2019-09-29,4,4,24.066,NOR,,DAL,W 12-10,*,17,69,4.06,0,3,3,20,6.67,0,100.0%,6.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,55,79%,0,0%,0,0%,
37,2019,2019-10-06,5,5,24.073,NOR,,TAM,W 31-24,*,16,62,3.88,0,7,6,42,7.00,0,85.7%,6.00,1,1,100.00,13,0,0,118.7,0,0,13.00,13.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,47,68%,0,0%,1,3%,
38,2019,2019-10-13,6,6,24.080,NOR,@,JAX,W 13-6,*,11,31,2.82,0,8,7,35,5.00,0,87.5%,4.38,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,1,0,0,0,0,0,39,59%,0,0%,0,0%,
39,2019,2019-10-20,,7,,NOR,@,CHI,W 36-25,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
40,2019,2019-10-27,,8,,NOR,,ARI,W 31-9,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
41,2019,2019-11-10,9,10,24.108,NOR,,ATL,L 9-26,,4,24,6.00,0,10,8,50,6.25,0,80.0%,5.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,52,79%,0,0%,0,0%,
42,2019,2019-11-17,10,11,24.115,NOR,@,TAM,W 34-17,,13,75,5.77,0,10,10,47,4.70,0,100.0%,4.70,0,0,,0,0,0,,0,0,,,0,0,,0,3,32,10.67,0,,0,0,1,0,0,0,0,0,42,63%,0,0%,3,12%,
43,2019,2019-11-24,11,12,24.122,NOR,,CAR,W 34-31,,11,54,4.91,0,9,9,48,5.33,0,100.0%,5.33,0,0,,0,0,0,,0,0,,,0,0,,0,1,-2,-2.00,0,,0,0,0,0,0,0,0,0,43,67%,0,0%,3,10%,
44,2019,2019-11-28,12,13,24.126,NOR,@,ATL,W 26-18,*,11,61,5.55,0,8,4,23,5.75,0,50.0%,2.88,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,40,82%,0,0%,3,10%,
45,2019,2019-12-08,13,14,24.136,NOR,,SFO,L 46-48,*,13,25,1.92,0,6,4,18,4.50,0,66.7%,3.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,1,1,0,0,0,0,55,76%,0,0%,0,0%,
46,2019,2019-12-16,14,15,24.144,NOR,,IND,W 34-7,,14,66,4.71,0,5,5,23,4.60,0,100.0%,4.60,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,42,63%,0,0%,0,0%,
47,2019,2019-12-22,15,16,24.150,NOR,@,TEN,W 38-28,*,11,80,7.27,2,7,6,30,5.00,0,85.7%,4.29,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,44,63%,0,0%,0,0%,
48,2019,2019-12-29,16,17,24.157,NOR,@,CAR,W 42-10,,8,39,4.88,2,3,2,18,9.00,0,66.7%,6.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,28,41%,0,0%,0,0%,
49,2020,2020-09-13,1,1,25.050,NOR,,TAM,W 34-23,*,12,16,1.33,1,8,5,51,10.20,1,62.5%,6.38,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,45,66%,0,0%,1,3%,
50,2020,2020-09-21,2,2,25.058,NOR,@,LVR,L 24-34,*,13,79,6.08,2,9,9,95,10.56,0,100.0%,10.56,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,41,68%,0,0%,0,0%,
51,2020,2020-09-27,3,3,25.064,NOR,,GNB,L 30-37,,6,58,9.67,0,14,13,139,10.69,2,92.9%,9.93,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,41,67%,0,0%,0,0%,
52,2020,2020-10-04,4,4,25.071,NOR,@,DET,W 35-29,*,19,83,4.37,1,4,3,36,12.00,0,75.0%,9.00,0,0,,0,0,0,,0,0,,,1,13,13.00,0,1,0,0.00,0,,1,6,0,0,0,1,0,0,47,67%,0,0%,2,8%,
53,2020,2020-10-12,5,5,25.079,NOR,,LAC,W 30-27,*,11,45,4.09,0,10,8,74,9.25,0,80.0%,7.40,0,0,,0,0,0,,0,0,,,1,31,31.00,0,0,0,,0,,0,0,0,0,0,0,0,0,58,76%,0,0%,1,3%,
54,2020,2020-10-25,6,7,25.092,NOR,,CAR,W 27-24,*,14,83,5.93,0,8,8,65,8.13,0,100.0%,8.13,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,51,73%,0,0%,0,0%,
55,2020,2020-11-01,7,8,25.099,NOR,@,CHI,W 26-23,,12,67,5.58,0,13,9,96,10.67,0,69.2%,7.38,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,1,0,0,1,0,0,58,78%,0,0%,0,0%,
56,2020,2020-11-08,8,9,25.106,NOR,@,TAM,W 38-3,*,9,40,4.44,1,6,5,9,1.80,0,83.3%,1.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,37,51%,0,0%,0,0%,
57,2020,2020-11-15,9,10,25.113,NOR,,SFO,W 27-13,,8,15,1.88,2,8,7,83,11.86,1,87.5%,10.38,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,3,18,0,0,0,0,0,0,39,66%,0,0%,1,4%,
58,2020,2020-11-22,10,11,25.120,NOR,,ATL,W 24-9,,13,45,3.46,1,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,33,49%,0,0%,0,0%,
59,2020,2020-11-29,11,12,25.127,NOR,@,DEN,W 31-3,,11,54,4.91,0,2,1,-2,-2.00,0,50.0%,-1.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,31,48%,0,0%,0,0%,
60,2020,2020-12-06,12,13,25.134,NOR,@,ATL,W 21-16,*,15,88,5.87,1,3,2,9,4.50,0,66.7%,3.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,1,0,0,48,62%,0,0%,0,0%,
61,2020,2020-12-13,13,14,25.141,NOR,@,PHI,L 21-24,*,11,50,4.55,1,10,7,44,6.29,0,70.0%,4.40,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,45,71%,0,0%,0,0%,
62,2020,2020-12-20,14,15,25.148,NOR,,KAN,L 29-32,*,11,54,4.91,0,6,3,40,13.33,1,50.0%,6.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,40,73%,0,0%,1,3%,
63,2020,2020-12-25,15,16,25.153,NOR,,MIN,W 52-33,*,22,155,7.05,6,5,3,17,5.67,0,60.0%,3.40,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,6,36,0,0,0,0,0,0,45,60%,0,0%,1,3%,
64,2020,2021-01-03,16,17,,NOR,@,CAR,W 33-7,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List
65,2021,2021-09-12,1,1,26.049,NOR,,GNB,W 38-3,*,20,83,4.15,0,4,3,8,2.67,1,75.0%,2.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,45,73%,0,0%,0,0%,
66,2021,2021-09-19,2,2,26.056,NOR,@,CAR,L 7-26,*,8,5,0.63,0,6,4,25,6.25,0,66.7%,4.17,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,37,84%,0,0%,0,0%,
67,2021,2021-09-26,3,3,26.063,NOR,@,NWE,W 28-13,*,24,89,3.71,0,4,3,29,9.67,1,75.0%,7.25,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,52,84%,0,0%,0,0%,
68,2021,2021-10-03,4,4,26.070,NOR,,NYG,L 21-27,*,26,120,4.62,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,59,87%,0,0%,0,0%,
69,2021,2021-10-10,5,5,26.077,NOR,@,WAS,W 33-22,*,16,71,4.44,1,8,5,51,10.20,1,62.5%,6.38,0,0,,0,0,0,,0,0,,,0,0,,0,3,29,9.67,0,,2,12,0,0,0,0,0,0,49,88%,0,0%,3,10%,
70,2021,2021-10-25,6,7,26.092,NOR,@,SEA,W 13-10,*,20,51,2.55,0,11,10,128,12.80,1,90.9%,11.64,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,61,82%,0,0%,0,0%,
71,2021,2021-10-31,7,8,26.098,NOR,,TAM,W 36-27,*,19,61,3.21,1,4,3,15,5.00,0,75.0%,3.75,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,51,67%,0,0%,0,0%,
72,2021,2021-11-07,8,9,26.105,NOR,,ATL,L 25-27,,13,50,3.85,1,7,4,54,13.50,0,57.1%,7.71,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,52,68%,0,0%,0,0%,
73,2021,2021-11-14,9,10,,NOR,@,TEN,L 21-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
74,2021,2021-11-21,10,11,,NOR,@,PHI,L 29-40,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
75,2021,2021-11-25,11,12,,NOR,,BUF,L 6-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
76,2021,2021-12-02,12,13,,NOR,,DAL,L 17-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
77,2021,2021-12-12,13,14,26.140,NOR,@,NYJ,W 30-9,,27,120,4.44,1,5,4,25,6.25,0,80.0%,5.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,52,74%,0,0%,1,3%,
78,2021,2021-12-19,14,15,26.147,NOR,@,TAM,W 9-0,*,11,18,1.64,0,6,2,13,6.50,0,33.3%,2.17,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,37,61%,0,0%,0,0%,
79,2021,2021-12-27,15,16,26.155,NOR,,MIA,L 3-20,*,13,52,4.00,0,4,2,7,3.50,0,50.0%,1.75,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,31,60%,0,0%,0,0%,
80,2021,2022-01-02,16,17,26.161,NOR,,CAR,W 18-10,*,13,32,2.46,0,6,5,68,13.60,1,83.3%,11.33,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,45,78%,0,0%,0,0%,
81,2021,2022-01-09,17,18,26.168,NOR,@,ATL,W 30-20,,30,146,4.87,0,2,2,16,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,1,0,0,56,78%,0,0%,0,0%,
82,2022,2022-09-11,1,1,27.048,NOR,@,ATL,W 27-26,*,9,39,4.33,0,4,3,7,2.33,0,75.0%,1.75,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,38,62%,0,0%,0,0%,
83,2022,2022-09-18,2,2,,NOR,,TAM,L 10-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
84,2022,2022-09-25,3,3,27.062,NOR,@,CAR,L 14-22,*,15,61,4.07,0,7,2,12,6.00,0,28.6%,1.71,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,1,1,0,0,0,0,48,70%,0,0%,0,0%,
85,2022,2022-10-02,4,4,,NOR,,MIN,L 25-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
86,2022,2022-10-09,5,5,27.076,NOR,,SEA,W 39-32,*,23,103,4.48,0,6,6,91,15.17,0,100.0%,15.17,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,1,1,0,0,0,0,56,73%,0,0%,0,0%,
87,2022,2022-10-16,6,6,27.083,NOR,,CIN,L 26-30,*,19,99,5.21,0,9,6,25,4.17,0,66.7%,2.78,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,50,69%,0,0%,0,0%,
88,2022,2022-10-20,7,7,27.087,NOR,@,ARI,L 34-42,*,11,49,4.45,0,9,7,56,8.00,0,77.8%,6.22,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,52,72%,0,0%,0,0%,
89,2022,2022-10-30,8,8,27.097,NOR,,LVR,W 24-0,,18,62,3.44,1,10,9,96,10.67,2,90.0%,9.60,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,3,18,0,0,0,0,0,0,46,72%,0,0%,0,0%,
