Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
32,2023,2023-12-21,15,16,23.177,NOR,@,LAR,L 22-30,,13,9,123,13.67,0,69.2%,9.46,0,0,,0,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,45,75%,0,0%,0,0%,
33,2023,2023-12-31,16,17,23.187,NOR,@,TAM,W 23-13,*,6,3,26,8.67,0,50.0%,4.33,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,67%,0,0%,0,0%,
34,2023,2024-01-07,17,18,23.194,NOR,,ATL,W 48-17,,3,3,56,18.67,1,100.0%,18.67,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,49,73%,0,0%,0,0%,
35,2024,2024-09-08,1,1,24.073,NOR,,CAR,W 47-10,*,2,2,11,5.50,0,100.0%,5.50,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,79%,0,0%,0,0%,
36,2024,2024-09-15,2,2,24.080,NOR,@,DAL,W 44-19,*,6,4,81,20.25,0,66.7%,13.50,1,7,7.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,71%,0,0%,0,0%,
37,2024,2024-09-22,3,3,24.087,NOR,,PHI,L 12-15,*,6,6,86,14.33,1,100.0%,14.33,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,45,80%,0,0%,0,0%,
38,2024,2024-09-29,4,4,24.094,NOR,@,ATL,L 24-26,*,10,8,87,10.88,0,80.0%,8.70,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,58,78%,0,0%,0,0%,
39,2024,2024-10-07,5,5,24.102,NOR,@,KAN,L 13-26,*,4,2,10,5.00,0,50.0%,2.50,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,94%,0,0%,0,0%,
40,2024,2024-10-13,6,6,24.108,NOR,,TAM,L 27-51,*,1,1,5,5.00,0,100.0%,5.00,0,0,,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,2,3%,0,0%,0,0%,
41,2024,2024-10-17,7,7,,NOR,,DEN,L 10-33,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
42,2024,2024-10-27,8,8,24.122,NOR,@,LAC,L 8-26,*,14,8,107,13.38,0,57.1%,7.64,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,58,79%,0,0%,0,0%,
43,2024,2024-11-03,9,9,24.129,NOR,@,CAR,L 22-23,*,1,1,13,13.00,0,100.0%,13.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,8,10%,0,0%,0,0%,
44,2024,2024-11-10,10,10,,NOR,,ATL,W 20-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
45,2024,2024-11-17,11,11,,NOR,,CLE,W 35-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
