Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
49,2022,2022-09-11,1,1,26.295,MIA,,NWE,W 20-7,,2,2,20,10.00,0,100.0%,10.00,1,8,8.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,28,47%,0,0%,0,0%,
50,2022,2022-09-18,2,2,26.302,MIA,@,BAL,W 42-38,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,22,31%,0,0%,0,0%,
51,2022,2022-09-25,3,3,26.309,MIA,,BUF,W 21-19,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,5,12%,0,0%,0,0%,
52,2022,2022-09-29,4,4,,MIA,@,CIN,L 15-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
53,2022,2022-10-09,5,5,26.323,MIA,@,NYJ,L 17-40,,4,2,20,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,16,24%,0,0%,0,0%,
54,2022,2022-10-16,6,6,26.330,MIA,,MIN,L 16-24,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,15,19%,0,0%,0,0%,
55,2022,2022-10-23,7,7,26.337,MIA,,PIT,W 16-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,1.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,6%,0,0%,6,23%,
56,2022,2022-10-30,8,8,26.344,MIA,@,DET,W 31-27,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,24,12.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,14,21%,0,0%,3,12%,
57,2022,2022-11-06,9,9,26.351,MIA,@,CHI,W 35-32,,2,2,23,11.50,0,100.0%,11.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,8,8.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,13,23%,0,0%,3,12%,
58,2022,2022-11-13,10,10,26.358,MIA,,CLE,W 39-17,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,,1,6,,,0,0,,0,1,8,8.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,21,30%,0,0%,1,4%,
59,2022,2022-11-27,11,12,27.007,MIA,,HOU,W 30-15,,3,2,26,13.00,0,66.7%,8.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,22,7.33,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,33,43%,0,0%,7,23%,
60,2022,2022-12-04,12,13,27.014,MIA,@,SFO,L 17-33,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,21,10.50,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,9,20%,0,0%,4,13%,
61,2022,2022-12-11,13,14,27.021,MIA,@,LAC,L 17-23,,2,2,19,9.50,0,100.0%,9.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,20,39%,0,0%,4,14%,
62,2022,2022-12-17,14,15,27.027,MIA,@,BUF,L 29-32,,2,1,21,21.00,0,50.0%,10.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,13,22%,0,0%,5,17%,
63,2022,2022-12-25,15,16,27.035,MIA,,GNB,L 20-26,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,13,26%,0,0%,2,8%,
64,2022,2023-01-01,16,17,27.042,MIA,@,NWE,L 21-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,13,4.33,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,11,15%,0,0%,5,19%,
65,2022,2023-01-08,17,18,,MIA,,NYJ,W 11-6,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
66,2023,2023-09-10,1,1,,MIA,@,LAC,W 36-34,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
67,2023,2023-09-17,2,2,,MIA,@,NWE,W 24-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
68,2023,2023-09-24,3,3,27.308,MIA,,DEN,W 70-20,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,34,47%,0,0%,0,0%,
69,2023,2023-10-01,4,4,27.315,MIA,@,BUF,L 20-48,,2,1,16,16.00,0,50.0%,8.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,23,35%,0,0%,1,4%,
70,2023,2023-10-08,5,5,27.322,MIA,,NYG,W 31-16,,4,4,52,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,54%,0,0%,0,0%,
71,2023,2023-10-15,6,6,27.329,MIA,,CAR,W 42-21,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,25,37%,0,0%,1,3%,
72,2023,2023-10-22,7,7,27.336,MIA,@,PHI,L 17-31,,3,2,48,24.00,0,66.7%,16.00,0,0,,0,0,0,,0,0,0,,1,7,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,59%,0,0%,0,0%,
73,2023,2023-10-29,8,8,27.343,MIA,,NWE,W 31-17,,1,1,1,1.00,1,100.0%,1.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,23,30%,0,0%,0,0%,
74,2023,2023-11-05,9,9,27.350,MIA,@,KAN,L 14-21,,5,1,31,31.00,1,20.0%,6.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,41,65%,0,0%,0,0%,
75,2023,2023-11-19,10,11,27.364,MIA,,LVR,W 20-13,,4,3,23,7.67,0,75.0%,5.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,30,10.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,64%,0,0%,10,38%,
76,2023,2023-11-24,11,12,28.004,MIA,@,NYJ,W 34-13,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,27,39%,0,0%,1,4%,
