Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rt,Yds,Y/Rt,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
115,2023,2024-01-07,17,18,,CHI,@,GNB,L 9-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
116,2024,2024-09-08,1,1,31.040,NOR,,CAR,W 47-10,*,,,,,,,,,,,,,,,,,36,55%,0,0%,6,20%,
117,2024,2024-09-15,2,2,31.047,NOR,@,DAL,W 44-19,*,,,,,,,,,,,,,,,,,59,100%,0,0%,7,26%,
118,2024,2024-09-22,3,3,31.054,NOR,,PHI,L 12-15,*,,,,,,,,,,,,,,,,,56,100%,0,0%,2,12%,
119,2024,2024-09-29,4,4,31.061,NOR,@,ATL,L 24-26,*,,,,,,,,,,,,,,,,,74,100%,0,0%,4,14%,
120,2024,2024-10-07,5,5,31.069,NOR,@,KAN,L 13-26,*,,,,,,,,,,,,,,,,,44,83%,0,0%,2,8%,
121,2024,2024-10-13,6,6,,NOR,,TAM,L 27-51,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
122,2024,2024-10-17,7,7,31.079,NOR,,DEN,L 10-33,,,,,,,,,,,,,,,,,,0,0%,0,0%,2,7%,
123,2024,2024-10-27,8,8,31.089,NOR,@,LAC,L 8-26,*,,,,,,,,,,,,,,,,,73,100%,0,0%,3,9%,
124,2024,2024-11-03,9,9,31.096,NOR,@,CAR,L 22-23,*,,,,,,,,,,,,,,,,,43,54%,0,0%,3,10%,
125,2024,2024-11-10,10,10,,NOR,,ATL,W 20-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
126,2024,2024-11-17,11,11,,NOR,,CLE,W 35-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
