Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Num,Pct,Num,Pct,Num,Pct,Status
45,2021,2021-12-12,13,14,,KAN,,LVR,W 48-9,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
46,2021,2021-12-16,14,15,,KAN,@,LAC,W 34-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
47,2021,2021-12-26,15,16,,KAN,,PIT,W 36-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
48,2021,2022-01-02,16,17,,KAN,@,CIN,L 31-34,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
49,2021,2022-01-08,17,18,,KAN,@,DEN,W 28-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
50,2022,2022-09-11,1,1,26.033,KAN,@,ARI,W 44-21,,0.0,1,1,2,0,0,0,0,0,0,0,0%,16,25%,0,0%,
51,2022,2022-09-15,2,2,26.037,KAN,,LAC,W 27-24,,0.0,2,0,2,0,0,0,0,0,0,0,0%,21,28%,1,3%,
52,2022,2022-09-25,3,3,26.047,KAN,@,IND,L 17-20,,0.0,3,5,8,0,2,0,0,0,0,1,2%,21,30%,0,0%,
53,2022,2022-10-02,4,4,26.054,KAN,@,TAM,W 41-31,,0.0,0,1,1,0,0,0,0,0,0,0,0%,19,30%,5,17%,
54,2022,2022-10-10,5,5,26.062,KAN,,LVR,W 30-29,,0.0,3,1,4,0,0,0,0,0,0,0,0%,25,39%,5,18%,
55,2022,2022-10-16,6,6,26.068,KAN,,BUF,L 20-24,,0.0,0,2,2,0,1,0,0,0,0,0,0%,29,40%,4,17%,
56,2022,2022-10-23,7,7,26.075,KAN,@,SFO,W 44-23,,0.5,2,1,3,0,1,0,0,0,0,0,0%,34,43%,5,18%,
57,2022,2022-11-06,8,9,26.089,KAN,,TEN,W 20-17,,1.0,3,3,6,1,1,0,0,0,0,0,0%,19,37%,3,10%,
58,2022,2022-11-13,9,10,26.096,KAN,,JAX,W 27-17,,1.0,1,1,2,1,1,0,0,0,0,0,0%,23,36%,4,15%,
59,2022,2022-11-20,10,11,26.103,KAN,@,LAC,W 30-27,,0.0,1,2,3,0,0,0,0,0,0,0,0%,31,48%,5,17%,
60,2022,2022-11-27,11,12,26.110,KAN,,LAR,W 26-10,,0.0,0,2,2,0,0,0,0,0,0,0,0%,15,28%,2,8%,
61,2022,2022-12-04,12,13,26.117,KAN,@,CIN,L 24-27,,0.0,1,1,2,0,0,0,0,0,0,0,0%,33,46%,5,22%,
62,2022,2022-12-11,13,14,26.124,KAN,@,DEN,W 34-28,,0.0,1,1,2,0,0,0,0,0,0,0,0%,34,47%,4,13%,
63,2022,2022-12-18,14,15,26.131,KAN,@,HOU,W 30-24,,0.0,1,3,4,0,0,0,0,0,1,0,0%,30,48%,4,14%,
64,2022,2022-12-24,15,16,,KAN,,SEA,W 24-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
65,2022,2023-01-01,16,17,26.145,KAN,,DEN,W 27-24,,1.0,2,1,3,1,1,0,0,0,0,0,0%,35,50%,4,14%,
66,2022,2023-01-07,17,18,26.151,KAN,@,LVR,W 31-13,,0.0,1,1,2,0,1,0,0,0,0,1,2%,36,51%,3,13%,
67,2023,2023-09-10,1,1,27.032,NOR,,TEN,W 16-15,*,0.0,1,0,1,0,0,0,0,0,0,0,0%,28,44%,1,4%,
68,2023,2023-09-18,2,2,27.040,NOR,@,CAR,W 20-17,*,0.0,3,1,4,0,0,0,0,0,0,0,0%,26,43%,0,0%,
69,2023,2023-09-24,3,3,27.046,NOR,@,GNB,L 17-18,*,0.0,0,4,4,0,1,0,0,0,0,0,0%,35,44%,0,0%,
70,2023,2023-10-01,4,4,27.053,NOR,,TAM,L 9-26,*,0.0,0,5,5,0,0,0,0,0,0,0,0%,43,61%,0,0%,
71,2023,2023-10-08,5,5,27.060,NOR,@,NWE,W 34-0,*,0.0,1,1,2,0,0,0,0,0,0,0,0%,18,33%,0,0%,
72,2023,2023-10-15,6,6,27.067,NOR,@,HOU,L 13-20,*,0.0,3,2,5,0,0,0,0,0,0,0,0%,35,56%,0,0%,
73,2023,2023-10-19,7,7,27.071,NOR,,JAX,L 24-31,*,0.0,1,0,1,0,0,0,0,0,0,4,4%,26,46%,0,0%,
74,2023,2023-10-29,8,8,27.081,NOR,@,IND,W 38-27,*,,,,,,,,,,,5,8%,29,41%,0,0%,
75,2023,2023-11-05,9,9,27.088,NOR,,CHI,W 24-17,*,0.0,2,3,5,0,0,0,0,0,0,3,5%,33,49%,0,0%,
76,2023,2023-11-12,10,10,27.095,NOR,@,MIN,L 19-27,*,0.0,2,0,2,1,1,0,0,0,0,0,0%,31,42%,0,0%,
77,2023,2023-11-26,11,12,27.109,NOR,@,ATL,L 15-24,*,0.0,2,3,5,0,0,0,0,0,0,0,0%,31,50%,0,0%,
78,2023,2023-12-03,12,13,27.116,NOR,,DET,L 28-33,*,0.0,1,3,4,0,0,0,0,0,0,4,6%,31,53%,0,0%,
79,2023,2023-12-10,13,14,27.123,NOR,,CAR,W 28-6,*,0.0,2,3,5,0,0,0,0,0,0,0,0%,40,50%,0,0%,
80,2023,2023-12-17,14,15,27.130,NOR,,NYG,W 24-6,*,0.0,2,1,3,0,0,0,0,0,1,0,0%,22,35%,0,0%,
81,2023,2023-12-21,15,16,27.134,NOR,@,LAR,L 22-30,*,0.0,2,2,4,0,0,0,0,0,0,0,0%,49,70%,0,0%,
82,2023,2023-12-31,16,17,27.144,NOR,@,TAM,W 23-13,*,0.0,2,2,4,0,0,0,0,0,0,0,0%,25,45%,0,0%,
83,2023,2024-01-07,17,18,27.151,NOR,,ATL,W 48-17,*,0.0,0,3,3,0,0,0,0,0,0,0,0%,21,34%,0,0%,
84,2024,2024-09-08,1,1,,NOR,,CAR,W 47-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
85,2024,2024-09-15,2,2,,NOR,@,DAL,W 44-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
86,2024,2024-09-22,3,3,,NOR,,PHI,L 12-15,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
87,2024,2024-09-29,4,4,28.051,NOR,@,ATL,L 24-26,,0.0,0,1,1,0,0,0,0,0,0,0,0%,22,39%,0,0%,
88,2024,2024-10-07,5,5,28.059,NOR,@,KAN,L 13-26,*,0.0,2,5,7,0,0,1,37,0,1,0,0%,36,43%,1,4%,
89,2024,2024-10-13,6,6,28.065,NOR,,TAM,L 27-51,,0.0,2,0,2,0,0,0,0,0,0,0,0%,41,53%,0,0%,
90,2024,2024-10-17,7,7,,NOR,,DEN,L 10-33,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
91,2024,2024-10-27,8,8,28.079,NOR,@,LAC,L 8-26,,1.0,3,1,4,1,1,0,0,0,0,0,0%,36,55%,0,0%,
92,2024,2024-11-03,9,9,28.086,NOR,@,CAR,L 22-23,*,0.0,1,1,2,0,0,0,0,0,0,0,0%,33,62%,0,0%,
93,2024,2024-11-10,10,10,28.093,NOR,,ATL,W 20-17,*,0.0,1,3,4,0,1,0,0,0,0,0,0%,36,46%,0,0%,
94,2024,2024-11-17,11,11,28.100,NOR,,CLE,W 35-14,*,0.0,0,2,2,0,0,0,0,0,0,0,0%,33,45%,0,0%,
