Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
36,2019,2019-09-26,4,4,24.176,GNB,,PHI,L 27-34,*,0,0,,0,1,1,0,0.00,0,100.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1%,0,0%,0,0%,
37,2019,2019-10-06,,5,,GNB,@,DAL,W 34-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
38,2019,2019-10-14,6,6,24.194,GNB,,DET,W 23-22,,14,104,7.43,0,5,4,32,8.00,1,80.0%,6.40,1,9,9.00,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,39,53%,0,0%,10,32%,
39,2019,2019-10-20,7,7,24.200,GNB,,OAK,W 42-24,,3,5,1.67,0,5,4,26,6.50,1,80.0%,5.20,0,0,,0,,1,6,0.0,1,0,1,0,0,0,0,0,0,0,0,23,40%,0,0%,8,30%,
40,2019,2019-10-27,8,8,24.207,GNB,@,KAN,W 31-24,,7,22,3.14,1,3,3,14,4.67,1,100.0%,4.67,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,32,48%,0,0%,7,26%,
41,2019,2019-11-03,9,9,24.214,GNB,@,LAC,L 11-26,*,2,10,5.00,0,6,6,39,6.50,1,100.0%,6.50,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,22,44%,0,0%,12,46%,
42,2019,2019-11-10,10,10,24.221,GNB,,CAR,W 24-16,,13,63,4.85,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,32,50%,0,0%,8,35%,
43,2019,2019-11-24,11,12,24.235,GNB,@,SFO,L 8-37,,11,45,4.09,0,8,7,35,5.00,0,87.5%,4.38,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,38,48%,0,0%,13,50%,
44,2019,2019-12-01,12,13,24.242,GNB,@,NYG,W 31-13,,10,41,4.10,0,4,4,26,6.50,0,100.0%,6.50,0,0,,0,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,27,42%,0,0%,7,32%,
45,2019,2019-12-08,13,14,24.249,GNB,,WAS,W 20-15,,7,24,3.43,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,25,42%,0,0%,8,32%,
46,2019,2019-12-15,14,15,24.256,GNB,,CHI,W 21-13,,8,26,3.25,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,24,41%,0,0%,13,48%,
47,2019,2019-12-23,15,16,24.264,GNB,@,MIN,W 23-10,,6,33,5.50,0,2,2,19,9.50,0,100.0%,9.50,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,21,27%,0,0%,6,22%,
48,2019,2019-12-29,,17,,GNB,@,DET,W 23-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
