Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Num,Pct,Num,Pct,Num,Pct,Status
75,2023,2023-11-05,9,9,,MIN,@,ATL,W 31-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
76,2023,2023-11-12,10,10,,MIN,,NOR,W 27-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
77,2023,2023-11-19,11,11,,MIN,@,DEN,L 20-21,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
78,2023,2023-11-27,12,12,,MIN,,CHI,L 10-12,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
79,2023,2023-12-10,13,14,,MIN,@,LVR,W 3-0,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
80,2023,2023-12-16,14,15,,MIN,@,CIN,L 24-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
81,2023,2023-12-24,15,16,,MIN,,DET,L 24-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
82,2023,2023-12-31,16,17,,MIN,,GNB,L 10-33,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
83,2023,2024-01-07,17,18,,MIN,@,DET,L 20-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
84,2024,2024-09-08,1,1,27.207,NOR,,CAR,W 47-10,,6,9%,0,0%,3,10%,
85,2024,2024-09-15,2,2,27.214,NOR,@,DAL,W 44-19,,6,10%,0,0%,0,0%,
86,2024,2024-09-22,3,3,27.221,NOR,,PHI,L 12-15,,53,95%,0,0%,0,0%,
87,2024,2024-09-29,4,4,27.228,NOR,@,ATL,L 24-26,,4,5%,0,0%,1,4%,
88,2024,2024-10-07,5,5,,NOR,@,KAN,L 13-26,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
89,2024,2024-10-13,6,6,,NOR,,TAM,L 27-51,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
90,2024,2024-10-17,7,7,27.246,NOR,,DEN,L 10-33,,0,0%,0,0%,1,3%,
91,2024,2024-10-27,8,8,27.256,NOR,@,LAC,L 8-26,,0,0%,0,0%,3,9%,
92,2024,2024-11-03,9,9,27.263,NOR,@,CAR,L 22-23,,1,1%,0,0%,4,14%,
93,2024,2024-11-10,10,10,27.270,NOR,,ATL,W 20-17,,13,25%,0,0%,4,15%,
94,2024,2024-11-17,11,11,27.277,NOR,,CLE,W 35-14,,4,7%,0,0%,0,0%,
