Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
61,2020,2020-12-13,13,14,25.258,LVR,,IND,L 27-44,,0,0,0,,0,0.0%,,0,0,,0,1,1,100.00,29,0,0,118.7,0,0,29.00,29.00,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,16,24%,0,0%,0,0%,
62,2020,2020-12-17,14,15,25.262,LVR,,LAC,L 27-30,*,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,70%,0,0%,0,0%,
63,2020,2020-12-26,15,16,25.271,LVR,,MIA,L 25-26,,,,,,,0.0%,,,,,,,,,,,,,,,,,,0,0,,,,,,,0,,,0,0,0,6,9%,0,0%,0,0%,
64,2020,2021-01-03,16,17,25.279,LVR,@,DEN,W 32-31,,2,1,37,37.00,0,50.0%,18.50,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,26,38%,0,0%,0,0%,
65,2021,2021-09-13,1,1,26.167,LVR,,BAL,W 33-27,,2,2,46,23.00,1,100.0%,23.00,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,20,23%,0,0%,9,28%,
66,2021,2021-09-19,2,2,26.173,LVR,@,PIT,W 26-17,,,,,,,0.0%,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,11,17%,0,0%,6,21%,
67,2021,2021-09-26,3,3,26.180,LVR,,MIA,W 31-28,,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,22,27%,0,0%,12,36%,
68,2021,2021-10-04,4,4,26.188,LVR,@,LAC,L 14-28,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,8,14%,0,0%,6,22%,
69,2021,2021-10-10,5,5,26.194,LVR,,CHI,L 9-20,,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,12,18%,0,0%,12,55%,
70,2021,2021-10-17,6,6,26.201,LVR,@,DEN,W 34-24,,,,,,,0.0%,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,15,27%,0,0%,13,42%,
71,2021,2021-10-24,7,7,26.208,LVR,,PHI,W 33-22,,1,1,43,43.00,0,100.0%,43.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,12,18%,0,0%,8,33%,
72,2021,2021-11-07,8,9,26.222,LVR,@,NYG,L 16-23,*,4,1,20,20.00,0,25.0%,5.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,66,96%,0,0%,0,0%,
73,2021,2021-11-14,9,10,26.229,LVR,,KAN,L 14-41,*,3,1,22,22.00,0,33.3%,7.33,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,46,85%,0,0%,10,36%,
74,2021,2021-11-21,10,11,26.236,LVR,,CIN,L 13-32,*,2,1,20,20.00,0,50.0%,10.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,34,72%,0,0%,11,39%,
75,2021,2021-11-25,11,12,26.240,LVR,@,DAL,W 36-33,,7,5,59,11.80,0,71.4%,8.43,1,4,4.00,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,60,69%,0,0%,11,26%,
76,2021,2021-12-05,12,13,26.250,LVR,,WAS,L 15-17,*,5,3,21,7.00,0,60.0%,4.20,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,86%,0,0%,0,0%,
77,2021,2021-12-12,13,14,26.257,LVR,@,KAN,L 9-48,*,7,5,25,5.00,0,71.4%,3.57,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,53,84%,0,0%,0,0%,
78,2021,2021-12-20,14,15,26.265,LVR,@,CLE,W 16-14,*,9,6,67,11.17,0,66.7%,7.44,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,86%,0,0%,0,0%,
79,2021,2021-12-26,15,16,26.271,LVR,,DEN,W 17-13,*,8,6,50,8.33,0,75.0%,6.25,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,75%,0,0%,0,0%,
80,2021,2022-01-02,16,17,26.278,LVR,@,IND,W 23-20,*,10,8,120,15.00,0,80.0%,12.00,1,-1,-1.00,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,48,77%,0,0%,0,0%,
81,2021,2022-01-09,17,18,26.285,LVR,,LAC,W 35-32,*,8,5,27,5.40,0,62.5%,3.38,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,71,89%,0,0%,1,3%,
82,2022,2022-09-11,1,1,27.165,JAX,@,WAS,L 22-28,*,9,6,65,10.83,0,66.7%,7.22,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,58,83%,0,0%,0,0%,
83,2022,2022-09-18,2,2,27.172,JAX,,IND,W 24-0,,4,3,23,7.67,0,75.0%,5.75,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,48,68%,0,0%,0,0%,
84,2022,2022-09-25,3,3,27.179,JAX,@,LAC,W 38-10,*,11,10,85,8.50,1,90.9%,7.73,1,0,0.00,0,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,58,76%,0,0%,0,0%,
85,2022,2022-10-02,4,4,,JAX,@,PHI,L 21-29,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
86,2022,2022-10-09,5,5,27.193,JAX,,HOU,L 6-13,*,8,3,12,4.00,0,37.5%,1.50,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,60,80%,0,0%,0,0%,
87,2022,2022-10-16,6,6,27.200,JAX,@,IND,L 27-34,*,5,5,42,8.40,0,100.0%,8.40,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,62,98%,0,0%,0,0%,
88,2022,2022-10-23,7,7,27.207,JAX,,NYG,L 17-23,*,10,4,54,13.50,0,40.0%,5.40,1,14,14.00,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70,99%,0,0%,0,0%,
89,2022,2022-10-30,8,8,27.214,JAX,,DEN,L 17-21,*,3,3,28,9.33,0,100.0%,9.33,1,7,7.00,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,71,99%,0,0%,0,0%,
90,2022,2022-11-06,9,9,27.221,JAX,,LVR,W 27-20,*,5,5,40,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,65,94%,0,0%,0,0%,
91,2022,2022-11-13,10,10,27.228,JAX,@,KAN,L 17-27,*,10,8,68,8.50,0,80.0%,6.80,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,60,94%,0,0%,0,0%,
92,2022,2022-11-27,11,12,27.242,JAX,,BAL,W 28-27,*,14,11,145,13.18,0,78.6%,10.36,0,0,,0,0,0,,0,0,0,,0,0,,,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,57,90%,0,0%,0,0%,
93,2022,2022-12-04,12,13,27.249,JAX,@,DET,L 14-40,*,7,2,16,8.00,0,28.6%,2.29,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,46,82%,0,0%,0,0%,
94,2022,2022-12-11,13,14,27.256,JAX,@,TEN,W 36-22,*,12,8,77,9.63,1,66.7%,6.42,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,56,78%,0,0%,1,4%,
95,2022,2022-12-18,14,15,27.263,JAX,,DAL,W 40-34,*,8,6,109,18.17,3,75.0%,13.63,0,0,,0,0,0,,0,0,0,,0,0,,,,3,18,0.0,0,0,0,0,0,0,0,0,0,0,0,67,96%,0,0%,0,0%,
96,2022,2022-12-22,15,16,27.267,JAX,@,NYJ,W 19-3,*,4,1,14,14.00,0,25.0%,3.50,1,-3,-3.00,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,79%,0,0%,0,0%,
97,2022,2023-01-01,16,17,27.277,JAX,@,HOU,W 31-3,*,5,3,24,8.00,0,60.0%,4.80,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,78%,0,0%,0,0%,
98,2022,2023-01-07,17,18,27.283,JAX,,TEN,W 20-16,*,6,4,21,5.25,0,66.7%,3.50,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,46,94%,0,0%,0,0%,
99,2023,2023-09-10,1,1,28.164,JAX,@,IND,W 31-21,*,7,5,55,11.00,1,71.4%,7.86,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,62,89%,0,0%,0,0%,
100,2023,2023-09-17,2,2,28.171,JAX,,KAN,L 9-17,*,6,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,44,66%,0,0%,0,0%,
101,2023,2023-09-24,3,3,,JAX,,HOU,L 17-37,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
