Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Rt,Yds,Y/Rt,TD,2PM,Sfty,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
21,2019,2019-10-06,5,5,24.292,IND,@,KAN,W 19-13,*,2,1,8,8.00,0,50.0%,4.00,1,12,12.00,0,0,0,,0,0,0,,0,0,,,2,48,24.00,0,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,44,54%,0,0%,13,52%,
22,2019,2019-10-20,6,7,24.306,IND,,HOU,W 30-23,,7,6,106,17.67,2,85.7%,15.14,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,3,66,22.00,0,,1,2,14,0.0,1,0,1,1,0,0,0,0,0,0,0,34,47%,0,0%,15,54%,
23,2019,2019-10-27,7,8,24.313,IND,,DEN,W 15-13,*,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,0,0,,0,0,,,2,76,38.00,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,92%,0,0%,9,30%,
24,2019,2019-11-03,8,9,24.320,IND,@,PIT,L 24-26,*,6,5,76,15.20,1,83.3%,12.67,0,0,,0,0,0,,0,0,0,,0,0,,,2,55,27.50,0,,,1,6,0.0,1,0,1,0,0,0,0,0,1,0,0,66,94%,0,0%,10,38%,
25,2019,2019-11-10,9,10,24.327,IND,,MIA,L 12-16,*,7,2,26,13.00,0,28.6%,3.71,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,68,99%,0,0%,0,0%,
26,2019,2019-11-17,10,11,24.334,IND,,JAX,W 33-13,*,6,2,17,8.50,0,33.3%,2.83,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,64,97%,0,0%,4,16%,
27,2019,2019-11-21,11,12,24.338,IND,@,HOU,L 17-20,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,87%,0,0%,5,22%,
28,2019,2019-12-01,12,13,24.348,IND,,TEN,L 17-31,*,10,7,109,15.57,0,70.0%,10.90,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70,100%,0,0%,3,10%,
29,2019,2019-12-08,13,14,24.355,IND,@,TAM,L 35-38,*,9,5,74,14.80,1,55.6%,8.22,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,,1,8,0.0,0,0,0,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%,
30,2019,2019-12-16,14,15,24.363,IND,@,NOR,L 7-34,,6,4,44,11.00,0,66.7%,7.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,80%,0,0%,0,0%,
