Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Sk,Solo,Ast,Comb,TFL,QBHits,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct
35,2023,2023-10-08,5,5,25.260,ARI,,CIN,L 20-34,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,1,1,0,0,4,219,54.75,68,151,37.8,0,0.0%,0,0.0%,0,0,0%,0,0%,7,26%
36,2023,2023-10-15,6,6,25.267,ARI,@,LAR,L 9-26,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,1,0,1,0,0,3,134,44.67,30,104,34.7,0,0.0%,1,33.3%,0,0,0%,0,0%,6,22%
37,2023,2023-10-22,7,7,25.274,ARI,@,SEA,L 10-20,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,5,240,48.00,47,193,38.6,0,0.0%,1,20.0%,0,0,0%,0,0%,9,38%
38,2023,2023-10-29,8,8,25.281,ARI,,BAL,L 24-31,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,4,207,51.75,31,176,44.0,0,0.0%,0,0.0%,0,0,0%,0,0%,6,21%
39,2023,2023-11-05,9,9,25.288,ARI,@,CLE,L 0-27,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,9,460,51.11,91,369,41.0,0,0.0%,2,22.2%,0,0,0%,0,0%,9,32%
40,2023,2023-11-12,10,10,25.295,ARI,,ATL,W 25-23,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,3,156,52.00,8,148,49.3,0,0.0%,1,33.3%,0,0,0%,0,0%,8,31%
41,2023,2023-11-19,11,11,25.302,ARI,@,HOU,L 16-21,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,2,107,53.50,16,91,45.5,0,0.0%,0,0.0%,0,0,0%,0,0%,4,22%
42,2023,2023-11-26,12,12,25.309,ARI,,LAR,L 14-37,,1,10,10.00,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,5,228,45.60,22,206,41.2,0,0.0%,0,0.0%,0,0,0%,0,0%,9,32%
43,2023,2023-12-03,13,13,25.316,ARI,@,PIT,W 24-10,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,5,252,50.40,11,221,44.2,1,20.0%,2,40.0%,0,0,0%,0,0%,9,38%
44,2023,2023-12-17,14,15,25.330,ARI,,SFO,L 29-45,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,2,112,56.00,4,108,54.0,0,0.0%,1,50.0%,0,0,0%,0,0%,7,23%
45,2023,2023-12-24,15,16,25.337,ARI,@,CHI,L 16-27,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,6,313,52.17,11,282,47.0,1,16.7%,1,16.7%,0,0,0%,0,0%,8,28%
46,2023,2023-12-31,16,17,25.344,ARI,@,PHI,W 35-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,5,20%
47,2023,2024-01-07,17,18,25.351,ARI,,SEA,L 20-21,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,3,152,50.67,15,137,45.7,0,0.0%,2,66.7%,0,1,1%,0,0%,9,35%
48,2024,2024-09-08,1,1,26.231,ARI,@,BUF,L 28-34,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,2,78,39.00,7,71,35.5,0,0.0%,0,0.0%,0,0,0%,0,0%,6,22%
49,2024,2024-09-15,2,2,26.238,ARI,,LAR,W 41-10,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,1,60,60.00,12,48,48.0,0,0.0%,0,0.0%,0,0,0%,0,0%,8,32%
50,2024,2024-09-22,3,3,26.245,ARI,,DET,L 13-20,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,5,260,52.00,40,220,44.0,0,0.0%,1,20.0%,0,0,0%,0,0%,8,35%
51,2024,2024-09-29,4,4,26.252,ARI,,WAS,L 14-42,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,4,192,48.00,16,176,44.0,0,0.0%,1,25.0%,0,0,0%,0,0%,6,26%
52,2024,2024-10-06,5,5,26.259,ARI,@,SFO,W 24-23,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,2,106,53.00,0,106,53.0,0,0.0%,1,50.0%,0,0,0%,0,0%,7,29%
53,2024,2024-10-13,6,6,26.266,ARI,@,GNB,L 13-34,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,1,0,1,0,0,4,211,52.75,47,144,36.0,1,25.0%,1,25.0%,0,0,0%,0,0%,8,30%
54,2024,2024-10-21,7,7,26.274,ARI,,LAC,W 17-15,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,4,178,44.50,0,178,44.5,0,0.0%,4,100.0%,0,0,0%,0,0%,7,32%
55,2024,2024-10-27,8,8,26.280,ARI,@,MIA,W 28-27,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,3,160,53.33,25,131,43.7,0,0.0%,2,66.7%,0,0,0%,0,0%,7,27%
56,2024,2024-11-03,9,9,26.287,ARI,,CHI,W 29-9,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,4,187,46.75,13,174,43.5,0,0.0%,3,75.0%,0,0,0%,0,0%,10,36%
57,2024,2024-11-10,10,10,26.294,ARI,,NYJ,W 31-6,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,1,40,40.00,0,40,40.0,0,0.0%,1,100.0%,0,0,0%,0,0%,6,33%
58,2024,2024-11-24,11,12,26.308,ARI,@,SEA,L 6-16,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,6,310,51.67,9,301,50.2,0,0.0%,4,66.7%,0,0,0%,0,0%,9,38%
