Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
73,2016,2016-11-13,9,10,27.158,JAX,,HOU,L 21-24,*,0,0,0,0,0,0,78,100%,0,0%,3,12%,
74,2016,2016-11-20,10,11,27.165,JAX,@,DET,L 19-26,*,0,0,0,0,0,0,66,100%,0,0%,4,12%,
75,2016,2016-11-27,11,12,27.172,JAX,@,BUF,L 21-28,*,0,0,0,0,0,0,68,100%,0,0%,3,11%,
76,2016,2016-12-04,12,13,27.179,JAX,,DEN,L 10-20,*,0,0,0,0,0,0,84,100%,0,0%,2,6%,
77,2016,2016-12-11,13,14,27.186,JAX,,MIN,L 16-25,*,0,0,0,0,0,0,65,98%,0,0%,6,19%,
78,2016,2016-12-18,14,15,27.193,JAX,@,HOU,L 20-21,*,0,0,0,0,0,0,53,100%,0,0%,5,14%,
79,2016,2016-12-24,15,16,27.199,JAX,,TEN,W 38-17,*,0,0,0,0,0,0,72,100%,0,0%,8,24%,
80,2016,2017-01-01,16,17,27.207,JAX,@,IND,L 20-24,*,0,0,0,0,0,0,73,100%,0,0%,6,20%,
81,2017,2017-09-10,1,1,28.094,NYJ,@,BUF,L 12-21,*,0,0,0,0,0,0,58,100%,0,0%,0,0%,
82,2017,2017-09-17,2,2,28.101,NYJ,@,OAK,L 20-45,*,0,0,0,0,0,0,56,100%,0,0%,1,3%,
83,2017,2017-09-24,3,3,28.108,NYJ,,MIA,W 20-6,*,0,0,0,0,0,0,63,100%,0,0%,0,0%,
84,2017,2017-10-01,4,4,28.115,NYJ,,JAX,W 23-20,*,0,0,0,0,0,0,70,100%,0,0%,6,16%,
85,2017,2017-10-08,5,5,28.122,NYJ,@,CLE,W 17-14,*,0,0,0,0,0,0,53,100%,0,0%,0,0%,
86,2017,2017-10-15,6,6,28.129,NYJ,,NWE,L 17-24,*,0,0,0,0,0,0,76,100%,0,0%,0,0%,
