Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct,Status
40,2012,2012-12-16,14,15,25.251,CAR,@,SDG,W 31-7,,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,11,44%,
41,2012,2012-12-23,15,16,25.258,CAR,,OAK,W 17-6,,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,8,36%,
42,2012,2012-12-30,16,17,25.265,CAR,@,NOR,W 44-38,,5,5,100.0,3,4,75.0,0,14,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,18,47%,
43,2013,2013-09-08,1,1,26.152,CAR,,SEA,L 7-12,,1,1,100.0,,,,0,1,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,3,16%,
44,2013,2013-09-15,2,2,26.159,CAR,@,BUF,L 23-24,,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,11,35%,
45,2013,2013-09-22,3,3,26.166,CAR,,NYG,W 38-0,,5,5,100.0,1,1,100.0,0,8,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,13,52%,
46,2013,2013-10-06,4,5,26.180,CAR,@,ARI,L 6-22,,,,,2,2,100.0,0,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,5,22%,
47,2013,2013-10-13,5,6,26.187,CAR,@,MIN,W 35-10,,5,5,100.0,,,,0,5,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,11,48%,
48,2013,2013-10-20,6,7,26.194,CAR,,STL,W 30-15,,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,13,46%,
49,2013,2013-10-24,7,8,26.198,CAR,@,TAM,W 31-13,,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,11,38%,
50,2013,2013-11-03,8,9,26.208,CAR,,ATL,W 34-10,,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,13,50%,
51,2013,2013-11-10,9,10,26.215,CAR,@,SFO,W 10-9,,1,1,100.0,1,2,50.0,0,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,6,22%,
52,2013,2013-11-18,10,11,26.223,CAR,,NWE,W 24-20,,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,9,43%,
53,2013,2013-11-24,11,12,26.229,CAR,@,MIA,W 20-16,,2,2,100.0,2,3,66.7,0,8,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,9,28%,
