Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
11,2022,2022-11-24,11,12,,NYG,@,DAL,L 20-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,2022,2022-12-04,12,13,,NYG,,WAS,T 20-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,2022,2022-12-11,13,14,,NYG,,PHI,L 22-48,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,2022,2022-12-18,14,15,,NYG,@,WAS,W 20-12,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,2022,2022-12-24,15,16,,NYG,@,MIN,L 24-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,2022,2023-01-01,16,17,,NYG,,IND,W 38-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,2022,2023-01-08,17,18,,NYG,@,PHI,L 16-22,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
18,2023,2023-09-10,1,1,,NYG,,DAL,L 0-40,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,2023,2023-09-17,2,2,,NYG,@,ARI,W 31-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,2023,2023-09-21,3,3,22.259,NYG,@,SFO,L 12-30,,5,4,21,5.25,0,80.0%,4.20,0,0,,0,0,0,0,0,0,0,0,0,11,22%,0,0%,0,0%,
21,2023,2023-10-02,4,4,22.270,NYG,,SEA,L 3-24,,6,5,40,8.00,0,83.3%,6.67,1,7,7.00,0,0,0,0,0,0,0,0,0,48,64%,0,0%,0,0%,
22,2023,2023-10-08,5,5,22.276,NYG,@,MIA,L 16-31,*,6,5,18,3.60,0,83.3%,3.00,1,1,1.00,0,0,0,0,0,0,0,0,0,48,67%,0,0%,0,0%,
23,2023,2023-10-15,6,6,22.283,NYG,@,BUF,L 9-14,,8,8,62,7.75,0,100.0%,7.75,0,0,,0,0,0,0,0,0,0,0,0,46,60%,0,0%,0,0%,
24,2023,2023-10-22,7,7,22.290,NYG,,WAS,W 14-7,,2,1,22,22.00,0,50.0%,11.00,0,0,,0,0,0,0,0,0,0,0,0,41,60%,0,0%,0,0%,
25,2023,2023-10-29,8,8,22.297,NYG,,NYJ,L 10-13,*,1,0,0,,0,0.0%,0.00,2,17,8.50,0,0,0,0,0,0,0,0,0,60,80%,0,0%,0,0%,
26,2023,2023-11-05,9,9,22.304,NYG,@,LVR,L 6-30,,5,4,35,8.75,1,80.0%,7.00,0,0,,0,1,6,0,0,0,1,0,0,34,54%,0,0%,0,0%,
27,2023,2023-11-12,10,10,22.311,NYG,@,DAL,L 17-49,,3,2,6,3.00,0,66.7%,2.00,1,0,0.00,0,0,0,0,0,0,0,0,0,27,47%,0,0%,0,0%,
28,2023,2023-11-19,11,11,22.318,NYG,@,WAS,W 31-19,*,4,3,35,11.67,0,75.0%,8.75,1,2,2.00,0,0,0,0,0,0,0,0,0,37,67%,0,0%,0,0%,
29,2023,2023-11-26,12,12,22.325,NYG,,NWE,W 10-7,*,5,4,26,6.50,0,80.0%,5.20,0,0,,0,0,0,0,0,0,0,0,0,40,77%,0,0%,0,0%,
30,2023,2023-12-11,13,14,22.340,NYG,,GNB,W 24-22,*,7,6,79,13.17,0,85.7%,11.29,2,36,18.00,0,0,0,0,0,0,0,0,0,44,79%,0,0%,0,0%,
31,2023,2023-12-17,14,15,22.346,NYG,@,NOR,L 6-24,*,4,4,25,6.25,0,100.0%,6.25,0,0,,0,0,0,0,0,0,0,0,0,53,85%,0,0%,0,0%,
32,2023,2023-12-25,15,16,22.354,NYG,@,PHI,L 25-33,*,7,3,16,5.33,0,42.9%,2.29,0,0,,0,0,0,0,0,0,0,0,0,45,71%,0,0%,0,0%,
33,2023,2023-12-31,16,17,22.360,NYG,,LAR,L 25-26,*,9,6,55,9.17,0,66.7%,6.11,1,24,24.00,1,1,6,0,0,0,0,0,0,61,82%,0,0%,0,0%,
34,2023,2024-01-07,17,18,23.002,NYG,,PHI,W 27-10,,6,5,85,17.00,0,83.3%,14.17,0,0,,0,0,0,0,0,0,0,0,0,46,69%,0,0%,0,0%,
35,2024,2024-09-08,1,1,23.247,NYG,,MIN,L 6-28,,12,6,44,7.33,0,50.0%,3.67,1,14,14.00,0,0,0,0,0,0,0,0,0,48,68%,0,0%,0,0%,
36,2024,2024-09-15,2,2,23.254,NYG,@,WAS,L 18-21,,4,2,18,9.00,1,50.0%,4.50,0,0,,0,1,6,0,0,0,0,0,0,35,63%,0,0%,0,0%,
37,2024,2024-09-22,3,3,23.261,NYG,@,CLE,W 21-15,,8,7,61,8.71,0,87.5%,7.63,0,0,,0,0,0,0,0,0,0,0,0,43,60%,0,0%,0,0%,
38,2024,2024-09-26,4,4,23.265,NYG,,DAL,L 15-20,,14,11,71,6.45,0,78.6%,5.07,0,0,,0,0,0,0,0,0,0,0,0,45,65%,0,0%,0,0%,
39,2024,2024-10-06,5,5,23.275,NYG,@,SEA,W 29-20,*,9,6,36,6.00,1,66.7%,4.00,1,4,4.00,0,1,6,0,0,0,0,0,0,59,82%,0,0%,0,0%,
40,2024,2024-10-13,6,6,23.282,NYG,,CIN,L 7-17,*,11,5,50,10.00,0,45.5%,4.55,0,0,,0,0,0,0,0,0,0,0,0,64,81%,0,0%,0,0%,
41,2024,2024-10-20,7,7,23.289,NYG,,PHI,L 3-28,,9,6,23,3.83,0,66.7%,2.56,0,0,,0,0,0,0,0,0,0,0,0,49,84%,0,0%,0,0%,
42,2024,2024-10-28,8,8,23.297,NYG,@,PIT,L 18-26,*,5,5,30,6.00,0,100.0%,6.00,0,0,,0,0,0,0,0,0,0,0,0,62,86%,0,0%,0,0%,
43,2024,2024-11-03,9,9,23.303,NYG,,WAS,L 22-27,*,4,3,10,3.33,0,75.0%,2.50,0,0,,0,0,0,0,0,0,0,0,0,47,72%,0,0%,0,0%,
44,2024,2024-11-10,10,10,23.310,NYG,@,CAR,L 17-20,,8,5,51,10.20,0,62.5%,6.38,0,0,,0,0,0,0,0,0,0,0,0,49,65%,0,0%,0,0%,
45,2024,2024-11-24,11,12,23.324,NYG,,TAM,L 7-30,,5,5,47,9.40,0,100.0%,9.40,1,0,0.00,0,0,0,0,0,0,0,0,0,49,83%,0,0%,0,0%,
