Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
47,2022,2022-12-19,14,15,25.133,GNB,,LAR,W 24-12,*,,,,,,,71,100%,0,0%,4,19%
48,2022,2022-12-25,15,16,25.139,GNB,@,MIA,W 26-20,*,,,,,,,66,100%,0,0%,6,23%
49,2022,2023-01-01,16,17,25.146,GNB,,MIN,W 41-17,*,,,,,,,63,100%,0,0%,7,25%
50,2022,2023-01-08,17,18,25.153,GNB,,DET,L 16-20,*,,,,,,,60,100%,0,0%,5,20%
51,2023,2023-09-10,1,1,26.033,GNB,@,CHI,W 38-20,*,,,,,,,60,100%,0,0%,6,21%
52,2023,2023-09-17,2,2,26.040,GNB,@,ATL,L 24-25,*,,,,,,,50,100%,0,0%,4,15%
53,2023,2023-09-24,3,3,26.047,GNB,,NOR,W 18-17,*,,,,,,,79,100%,0,0%,2,8%
54,2023,2023-09-28,4,4,26.051,GNB,,DET,L 20-34,*,,,,,,,57,100%,0,0%,1,3%
55,2023,2023-10-09,5,5,26.062,GNB,@,LVR,L 13-17,*,,,,,,,58,100%,0,0%,3,13%
56,2023,2023-10-22,6,7,26.075,GNB,@,DEN,L 17-19,*,,,,,,,64,100%,0,0%,4,16%
57,2023,2023-10-29,7,8,26.082,GNB,,MIN,L 10-24,*,,,,,,,68,100%,0,0%,3,13%
58,2023,2023-11-05,8,9,26.089,GNB,,LAR,W 20-3,*,0,0,0,0,0,0,65,90%,0,0%,0,0%
59,2023,2023-11-12,9,10,26.096,GNB,@,PIT,L 19-23,*,,,,,,,68,100%,0,0%,4,14%
60,2023,2023-11-19,10,11,26.103,GNB,,LAC,W 23-20,*,,,,,,,66,92%,0,0%,5,19%
61,2023,2023-11-23,11,12,26.107,GNB,@,DET,W 29-22,*,,,,,,,43,77%,0,0%,5,22%
62,2023,2023-12-03,12,13,26.117,GNB,,KAN,W 27-19,*,,,,,,,57,89%,0,0%,5,23%
63,2023,2023-12-11,13,14,26.125,GNB,@,NYG,L 22-24,*,,,,,,,56,82%,0,0%,5,19%
64,2023,2023-12-17,14,15,26.131,GNB,,TAM,L 20-34,*,,,,,,,31,52%,0,0%,4,16%
65,2023,2023-12-24,15,16,26.138,GNB,@,CAR,W 33-30,*,,,,,,,33,50%,0,0%,6,20%
66,2023,2023-12-31,16,17,26.145,GNB,@,MIN,W 33-10,*,,,,,,,42,57%,0,0%,6,25%
67,2023,2024-01-07,17,18,26.152,GNB,,CHI,W 17-9,*,,,,,,,31,52%,0,0%,4,22%
68,2024,2024-09-08,1,1,27.031,NYG,,MIN,L 6-28,*,,,,,,,71,100%,0,0%,2,8%
69,2024,2024-09-15,2,2,27.038,NYG,@,WAS,L 18-21,*,,,,,,,56,100%,0,0%,1,5%
70,2024,2024-09-22,3,3,27.045,NYG,@,CLE,W 21-15,*,,,,,,,72,100%,0,0%,4,15%
71,2024,2024-09-26,4,4,27.049,NYG,,DAL,L 15-20,*,,,,,,,69,100%,0,0%,5,20%
72,2024,2024-10-06,5,5,27.059,NYG,@,SEA,W 29-20,*,,,,,,,72,100%,0,0%,5,17%
73,2024,2024-10-13,6,6,27.066,NYG,,CIN,L 7-17,*,,,,,,,79,100%,0,0%,3,14%
74,2024,2024-10-20,7,7,27.073,NYG,,PHI,L 3-28,*,,,,,,,58,100%,0,0%,1,3%
75,2024,2024-10-28,8,8,27.081,NYG,@,PIT,L 18-26,*,,,,,,,72,100%,0,0%,4,13%
76,2024,2024-11-03,9,9,27.087,NYG,,WAS,L 22-27,*,,,,,,,65,100%,0,0%,2,9%
77,2024,2024-11-10,10,10,27.094,NYG,@,CAR,L 17-20,*,,,,,,,75,100%,0,0%,4,13%
78,2024,2024-11-24,11,12,27.108,NYG,,TAM,L 7-30,*,,,,,,,59,100%,0,0%,1,5%
