Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
55,2022,2022-10-16,6,6,25.324,PIT,,TAM,W 20-18,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,9,32%,
56,2022,2022-10-23,7,7,25.331,PIT,@,MIA,L 10-16,,0,0,0,,0,0.0%,,0,0,,0,1,27,27.00,0,3,19,6.33,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,10,13%,0,0%,11,42%,
57,2022,2022-10-30,8,8,25.338,PIT,@,PHI,L 13-35,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,0,0%,9,33%,
58,2022,2022-11-13,9,10,25.352,PIT,,NOR,W 20-10,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,22,26%,0,0%,4,17%,
59,2022,2022-11-20,10,11,25.359,PIT,,CIN,L 30-37,,3,2,39,19.50,0,66.7%,13.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,42%,0,0%,15,42%,
60,2022,2022-11-28,11,12,26.002,PIT,@,IND,W 24-17,*,0,0,0,,0,0.0%,,1,9,9.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,21,30%,0,0%,7,27%,
61,2022,2022-12-04,12,13,26.008,PIT,@,ATL,W 19-16,,0,0,0,,0,0.0%,,2,2,1.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,18,28%,0,0%,3,12%,
62,2022,2022-12-11,13,14,26.015,PIT,,BAL,L 14-16,,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,20,36%,0,0%,0,0%,
63,2022,2022-12-18,14,15,26.022,PIT,@,CAR,W 24-16,*,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,19,28%,0,0%,0,0%,
64,2022,2022-12-24,15,16,26.028,PIT,,LVR,W 13-10,,,,,,,0.0%,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,8,12%,0,0%,1,5%,
65,2022,2023-01-01,16,17,26.036,PIT,@,BAL,W 16-13,,0,0,0,,0,0.0%,,1,6,6.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,25,36%,0,0%,9,39%,
66,2022,2023-01-08,17,18,26.043,PIT,,CLE,W 28-14,,0,0,0,,0,0.0%,,2,4,2.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,13,18%,0,0%,1,5%,
67,2023,2023-09-10,1,1,,PIT,,SFO,L 7-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
68,2023,2023-09-18,2,2,26.296,PIT,,CLE,W 26-22,,1,1,0,0.00,0,100.0%,0.00,0,0,,0,1,0,0.00,0,0,0,,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,2%,0,0%,1,3%,
