Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
56,2018,2018-12-09,13,14,28.286,CAR,@,CLE,L 20-26,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,74,100%,0,0%,4,14%,
57,2018,2018-12-17,14,15,28.294,CAR,,NOR,L 9-12,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,58,100%,0,0%,1,5%,
58,2018,2018-12-23,15,16,28.300,CAR,,ATL,L 10-24,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,92,100%,0,0%,2,9%,
59,2018,2018-12-30,16,17,28.307,CAR,@,NOR,W 33-14,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,72,100%,0,0%,6,24%,
60,2019,2019-09-08,1,1,29.194,CAR,,LAR,L 27-30,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,66,100%,0,0%,6,17%,
61,2019,2019-09-12,2,2,29.198,CAR,,TAM,L 14-20,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,75,100%,0,0%,4,13%,
62,2019,2019-09-22,3,3,29.208,CAR,@,ARI,W 38-20,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,60,100%,0,0%,6,20%,
63,2019,2019-09-29,4,4,29.215,CAR,@,HOU,W 16-10,*,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,0,0,0,67,100%,0,0%,4,16%,
64,2019,2019-10-06,5,5,29.222,CAR,,JAX,W 34-27,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,63,100%,0,0%,7,21%,
65,2019,2019-10-13,6,6,29.229,CAR,@,TAM,W 37-26,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,67,99%,0,0%,8,21%,
66,2019,2019-10-27,7,8,29.243,CAR,@,SFO,L 13-51,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,68,100%,0,0%,1,3%,
67,2019,2019-11-03,8,9,29.250,CAR,,TEN,W 30-20,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,71,100%,0,0%,6,21%,
68,2019,2019-11-10,9,10,29.257,CAR,@,GNB,L 16-24,*,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,1,0,0,72,100%,0,0%,2,9%,
69,2019,2019-11-17,10,11,29.264,CAR,,ATL,L 3-29,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,74,100%,0,0%,1,4%,
70,2019,2019-11-24,11,12,29.271,CAR,@,NOR,L 31-34,*,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,1,0,0,22,30%,0,0%,2,6%,
71,2019,2019-12-01,,13,,CAR,,WAS,L 21-29,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
72,2019,2019-12-08,,14,,CAR,@,ATL,L 20-40,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
73,2019,2019-12-15,,15,,CAR,,SEA,L 24-30,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
74,2019,2019-12-22,,16,,CAR,@,IND,L 6-38,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
75,2019,2019-12-29,,17,,CAR,,NOR,L 10-42,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
76,2020,2020-09-13,1,1,30.200,NYJ,@,BUF,L 17-27,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,56,100%,0,0%,3,12%,
77,2020,2020-09-20,2,2,30.207,NYJ,,SFO,L 13-31,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,65,100%,0,0%,3,11%,
78,2020,2020-09-27,3,3,30.214,NYJ,@,IND,L 7-36,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,64,100%,0,0%,1,4%,
79,2020,2020-10-01,4,4,30.218,NYJ,,DEN,L 28-37,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,77,100%,0,0%,7,20%,
80,2020,2020-10-11,5,5,30.228,NYJ,,ARI,L 10-30,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,69,100%,0,0%,2,8%,
81,2020,2020-10-18,6,6,30.235,NYJ,@,MIA,L 0-24,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,71,100%,0,0%,1,3%,
82,2020,2020-10-25,7,7,30.242,NYJ,,BUF,L 10-18,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,57,100%,0,0%,2,9%,
83,2020,2020-11-01,8,8,30.249,NYJ,@,KAN,L 9-35,*,0,0,0,,0,0.0%,,0.0,1,0,1,0,0,0,0,0,0,0,0,57,100%,0,0%,4,14%,
84,2020,2020-11-09,9,9,30.257,NYJ,,NWE,L 27-30,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,46,100%,0,0%,5,18%,
85,2020,2020-11-22,10,11,30.270,NYJ,@,LAC,L 28-34,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,60,100%,0,0%,4,13%,
86,2020,2020-11-29,11,12,30.277,NYJ,,MIA,L 3-20,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,55,100%,0,0%,2,9%,
87,2020,2020-12-06,12,13,30.284,NYJ,,LVR,L 28-31,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,12,19%,0,0%,0,0%,
88,2020,2020-12-13,13,14,,NYJ,@,SEA,L 3-40,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
