Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
55,2022,2022-10-16,6,6,25.277,NYG,,BAL,W 24-20,*,3,1,18,18.00,0,33.3%,6.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,69%,0,0%,0,0%,
56,2022,2022-10-23,7,7,25.284,NYG,@,JAX,W 23-17,*,6,3,58,19.33,1,50.0%,9.67,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,44,57%,0,0%,0,0%,
57,2022,2022-10-30,8,8,25.291,NYG,@,SEA,L 13-27,*,6,5,66,13.20,0,83.3%,11.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,48,74%,0,0%,0,0%,
58,2022,2022-11-13,9,10,25.305,NYG,,HOU,W 24-16,*,4,3,95,31.67,1,75.0%,23.75,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,55,80%,0,0%,0,0%,
59,2022,2022-11-20,10,11,25.312,NYG,,DET,L 18-31,*,10,5,86,17.20,0,50.0%,8.60,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,66,87%,0,0%,0,0%,
60,2022,2022-11-24,11,12,25.316,NYG,@,DAL,L 20-28,*,6,3,63,21.00,0,50.0%,10.50,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,84%,0,0%,0,0%,
61,2022,2022-12-04,12,13,25.326,NYG,,WAS,T 20-20,*,8,6,90,15.00,0,75.0%,11.25,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,61,92%,0,0%,0,0%,
62,2022,2022-12-11,13,14,25.333,NYG,,PHI,L 22-48,*,3,2,42,21.00,0,66.7%,14.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,83%,0,0%,0,0%,
63,2022,2022-12-18,14,15,25.340,NYG,@,WAS,W 20-12,*,7,5,23,4.60,0,71.4%,3.29,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,59,94%,0,0%,0,0%,
64,2022,2022-12-24,15,16,25.346,NYG,@,MIN,L 24-27,*,6,4,79,19.75,0,66.7%,13.17,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,68,99%,0,0%,0,0%,
65,2022,2023-01-01,16,17,25.354,NYG,,IND,W 38-10,*,3,2,14,7.00,0,66.7%,4.67,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,52,83%,0,0%,0,0%,
66,2022,2023-01-08,17,18,25.361,NYG,@,PHI,L 16-22,,,,,,,0.0%,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,3,5%,0,0%,0,0%,
67,2023,2023-09-10,1,1,26.241,NYG,,DAL,L 0-40,,5,3,15,5.00,0,60.0%,3.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,67%,0,0%,0,0%,
68,2023,2023-09-17,2,2,26.248,NYG,@,ARI,W 31-28,*,6,3,62,20.67,0,50.0%,10.33,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,82%,0,0%,0,0%,
