Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Ret,Yds,Y/R,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
37,2023,2023-09-21,3,3,24.083,NYG,@,SFO,L 12-30,*,0,0,,0,0,0,0.0,3,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,83,100%,9,32%,
38,2023,2023-10-02,4,4,24.094,NYG,,SEA,L 3-24,*,0,0,,0,0,0,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,55,100%,15,65%,
39,2023,2023-10-08,5,5,24.100,NYG,@,MIA,L 16-31,*,0,0,,0,1,6,0.0,4,0,4,0,0,1,102,1,1,0,0,1,0,0,0,0,0%,54,100%,9,35%,
40,2023,2023-10-15,6,6,24.107,NYG,@,BUF,L 9-14,*,0,0,,0,0,0,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,61,100%,7,33%,
41,2023,2023-10-22,7,7,24.114,NYG,,WAS,W 14-7,*,0,0,,0,0,0,1.0,4,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,69,100%,5,17%,
42,2023,2023-10-29,8,8,24.121,NYG,,NYJ,L 10-13,*,0,0,,0,0,0,0.0,0,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0%,64,100%,14,38%,
43,2023,2023-11-05,9,9,24.128,NYG,@,LVR,L 6-30,*,0,0,,0,0,0,0.0,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,59,98%,9,38%,
44,2023,2023-11-12,10,10,24.135,NYG,@,DAL,L 17-49,*,0,0,,0,0,0,0.0,7,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,77,99%,7,23%,
45,2023,2023-11-19,11,11,24.142,NYG,@,WAS,W 31-19,*,0,0,,0,0,0,0.0,2,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,81,100%,6,21%,
46,2023,2023-11-26,12,12,24.149,NYG,,NWE,W 10-7,*,0,0,,0,0,0,0.0,3,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,68,100%,5,22%,
47,2023,2023-12-11,13,14,24.164,NYG,,GNB,W 24-22,*,0,0,,0,0,0,0.0,4,0,4,0,0,1,21,0,2,0,0,0,0,0,0,0,0%,68,100%,7,26%,
48,2023,2023-12-17,14,15,24.170,NYG,@,NOR,L 6-24,*,0,0,,0,0,0,1.0,7,1,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,60,97%,8,35%,
49,2023,2023-12-25,15,16,24.178,NYG,@,PHI,L 25-33,*,0,0,,0,0,0,0.0,5,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,74,99%,9,31%,
50,2023,2023-12-31,16,17,24.184,NYG,,LAR,L 25-26,*,0,0,,0,0,0,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,16,26%,0,0%,
51,2023,2024-01-07,17,18,,NYG,,PHI,W 27-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
52,2024,2024-09-08,1,1,25.070,NYG,,MIN,L 6-28,*,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,54,98%,4,17%,
53,2024,2024-09-15,2,2,25.077,NYG,@,WAS,L 18-21,*,0,0,,0,0,0,2.0,8,1,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0%,71,99%,7,33%,
54,2024,2024-09-22,3,3,25.084,NYG,@,CLE,W 21-15,*,0,0,,0,0,0,1.0,2,4,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,67,100%,2,8%,
55,2024,2024-09-26,4,4,25.088,NYG,,DAL,L 15-20,*,0,0,,0,0,0,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,56,100%,5,20%,
56,2024,2024-10-06,5,5,25.098,NYG,@,SEA,W 29-20,*,0,0,,0,0,0,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,58,100%,0,0%,
57,2024,2024-10-13,6,6,25.105,NYG,,CIN,L 7-17,*,0,0,,0,0,0,0.0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,49,92%,0,0%,
58,2024,2024-10-20,7,7,25.112,NYG,,PHI,L 3-28,*,0,0,,0,0,0,0.0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,51,77%,0,0%,
59,2024,2024-10-28,8,8,25.120,NYG,@,PIT,L 18-26,*,0,0,,0,0,0,0.0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,66,100%,0,0%,
60,2024,2024-11-03,9,9,25.126,NYG,,WAS,L 22-27,*,0,0,,0,0,0,0.0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,56,90%,0,0%,
61,2024,2024-11-10,10,10,,NYG,@,CAR,L 17-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
62,2024,2024-11-24,11,12,25.147,NYG,,TAM,L 7-30,*,0,0,,0,0,0,0.0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,62,95%,0,0%,
