Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
21,2020,2020-10-13,5,5,23.040,BUF,@,TEN,L 16-42,*,11,25,2.27,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,63%,0,0%,0,0%,
22,2020,2020-10-19,6,6,23.046,BUF,,KAN,L 17-26,*,10,32,3.20,0,2,1,13,13.00,0,50.0%,6.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,40,75%,0,0%,0,0%,
23,2020,2020-10-25,7,7,23.052,BUF,@,NYJ,W 18-10,*,8,29,3.63,0,5,2,18,9.00,0,40.0%,3.60,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,40,54%,0,0%,0,0%,
24,2020,2020-11-01,8,8,23.059,BUF,,NWE,W 24-21,*,14,86,6.14,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,28,48%,0,0%,0,0%,
25,2020,2020-11-08,9,9,23.066,BUF,,SEA,W 44-34,*,2,1,0.50,0,3,3,33,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,46%,0,0%,0,0%,
26,2020,2020-11-15,10,10,23.073,BUF,@,ARI,L 30-32,*,4,15,3.75,0,3,1,-5,-5.00,0,33.3%,-1.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,34,47%,0,0%,0,0%,
27,2020,2020-11-29,11,12,23.087,BUF,,LAC,W 27-17,*,11,82,7.45,0,3,3,20,6.67,0,100.0%,6.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,25,40%,0,0%,0,0%,
28,2020,2020-12-07,12,13,23.095,BUF,@,SFO,W 34-24,*,18,61,3.39,0,4,3,22,7.33,0,75.0%,5.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,62,85%,0,0%,0,0%,
29,2020,2020-12-13,13,14,23.101,BUF,,PIT,W 26-15,*,7,32,4.57,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,30,40%,0,0%,0,0%,
30,2020,2020-12-19,14,15,23.107,BUF,@,DEN,W 48-19,*,8,68,8.50,1,3,3,16,5.33,0,100.0%,5.33,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,39,53%,0,0%,0,0%,
31,2020,2020-12-28,15,16,23.116,BUF,@,NWE,W 38-9,*,10,36,3.60,0,2,2,16,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,49%,0,0%,0,0%,
32,2020,2021-01-03,16,17,23.122,BUF,,MIA,W 56-26,*,3,7,2.33,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,18,28%,0,0%,0,0%,
33,2021,2021-09-12,1,1,24.009,BUF,,PIT,L 16-23,,11,72,6.55,0,5,3,8,2.67,0,60.0%,1.60,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,2,0,0,0,0,0,64,75%,0,0%,0,0%,
34,2021,2021-09-19,2,2,24.016,BUF,@,MIA,W 35-0,*,13,82,6.31,1,3,2,9,4.50,0,66.7%,3.00,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,1,0,0,0,0,0,43,66%,0,0%,0,0%,
35,2021,2021-09-26,3,3,24.023,BUF,,WAS,W 43-21,*,11,26,2.36,0,2,1,0,0.00,0,50.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,34,43%,0,0%,0,0%,
36,2021,2021-10-03,4,4,24.030,BUF,,HOU,W 40-0,*,14,79,5.64,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,32,44%,0,0%,0,0%,
37,2021,2021-10-10,5,5,24.037,BUF,@,KAN,W 38-20,*,6,25,4.17,0,2,1,-2,-2.00,0,50.0%,-1.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,15,26%,0,0%,0,0%,
38,2021,2021-10-18,6,6,24.045,BUF,@,TEN,L 31-34,*,5,27,5.40,0,5,5,16,3.20,0,100.0%,3.20,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,45%,0,0%,0,0%,
39,2021,2021-10-31,7,8,24.058,BUF,,MIA,W 26-11,*,7,28,4.00,0,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,25,34%,0,0%,0,0%,
40,2021,2021-11-07,8,9,24.065,BUF,@,JAX,L 6-9,*,6,16,2.67,0,8,7,43,6.14,0,87.5%,5.38,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,48,72%,0,0%,0,0%,
41,2021,2021-11-14,9,10,24.072,BUF,@,NYJ,W 45-17,*,7,43,6.14,1,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,1,0,0,1,5,0,22,38%,0,0%,0,0%,
42,2021,2021-11-21,10,11,24.079,BUF,,IND,L 15-41,*,3,17,5.67,0,4,3,26,8.67,0,75.0%,6.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,21,38%,0,0%,0,0%,
43,2021,2021-11-25,11,12,24.083,BUF,@,NOR,W 31-6,*,15,44,2.93,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,68%,0,0%,0,0%,
44,2021,2021-12-06,12,13,24.094,BUF,,NWE,L 10-14,*,10,36,3.60,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,28,48%,0,0%,0,0%,
45,2021,2021-12-12,13,14,24.100,BUF,@,TAM,L 27-33,*,4,52,13.00,0,7,6,37,6.17,0,85.7%,5.29,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,64,82%,0,0%,0,0%,
46,2021,2021-12-19,14,15,24.107,BUF,,CAR,W 31-14,*,22,86,3.91,1,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,65,93%,0,0%,0,0%,
47,2021,2021-12-26,15,16,24.114,BUF,@,NWE,W 33-21,*,12,39,3.25,1,6,5,39,7.80,0,83.3%,6.50,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,54,68%,0,0%,0,0%,
48,2021,2022-01-02,16,17,24.121,BUF,,ATL,W 29-15,*,23,110,4.78,2,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,61,80%,0,0%,0,0%,
49,2021,2022-01-09,17,18,24.128,BUF,,NYJ,W 27-10,*,19,88,4.63,1,2,2,24,12.00,1,100.0%,12.00,0,0,,0,0,0,,0,0,,,0,0,,0,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,62,76%,0,0%,0,0%,
