Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
11,2023,2023-11-26,11,12,22.124,CAR,@,TEN,L 10-17,*,18,31,58.06,194,0,0,76.5,4,32,6.26,6.26,3,23,7.67,0,,0,0,1,1,0,0,0,0,74,100%,0,0%,0,0%,
12,2023,2023-12-03,12,13,22.131,CAR,@,TAM,L 18-21,*,15,31,48.39,178,0,1,52.9,4,29,5.74,4.29,0,0,,0,1,0,2,1,0,0,0,0,0,72,100%,0,0%,0,0%,
13,2023,2023-12-10,13,14,22.138,CAR,@,NOR,L 6-28,*,13,36,36.11,137,0,0,48.0,4,38,3.81,3.81,3,40,13.33,0,,0,0,1,1,0,0,0,0,80,100%,0,0%,0,0%,
14,2023,2023-12-17,14,15,22.145,CAR,,ATL,W 9-7,*,18,24,75.00,167,0,0,93.6,3,13,6.96,6.96,4,9,2.25,0,,0,0,1,0,0,1,0,0,66,100%,0,0%,0,0%,
15,2023,2023-12-24,15,16,22.152,CAR,,GNB,L 30-33,*,23,36,63.89,312,2,0,110.0,2,14,8.67,9.78,4,17,4.25,0,,0,0,1,0,0,1,0,0,66,100%,0,0%,0,0%,
16,2023,2023-12-31,16,17,22.159,CAR,@,JAX,L 0-26,*,19,32,59.38,112,0,1,53.1,6,45,3.50,2.09,1,2,2.00,0,,0,0,0,0,0,0,0,0,54,100%,0,0%,0,0%,
17,2023,2024-01-07,17,18,22.166,CAR,,TAM,L 0-9,*,11,18,61.11,94,0,0,74.8,3,26,5.22,5.22,2,24,12.00,0,,0,0,1,1,0,0,0,0,52,100%,0,0%,0,0%,
18,2024,2024-09-08,1,1,23.045,CAR,@,NOR,L 10-47,*,13,30,43.33,161,0,2,32.8,4,26,5.37,2.37,4,12,3.00,1,,1,6,0,0,0,0,0,0,54,92%,0,0%,0,0%,
19,2024,2024-09-15,2,2,23.052,CAR,,LAC,L 3-26,*,18,26,69.23,84,0,1,57.2,2,15,3.23,1.50,1,6,6.00,0,,0,0,0,0,0,0,0,0,48,100%,0,0%,0,0%,
20,2024,2024-09-22,3,3,,CAR,@,LVR,W 36-22,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
21,2024,2024-09-29,4,4,,CAR,,CIN,L 24-34,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
22,2024,2024-10-06,5,5,23.073,CAR,@,CHI,L 10-36,,4,7,57.14,58,0,0,84.2,1,2,8.29,8.29,1,8,8.00,0,,0,0,0,0,0,0,0,0,9,15%,0,0%,0,0%,
23,2024,2024-10-13,6,6,,CAR,,ATL,L 20-38,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
24,2024,2024-10-20,7,7,23.087,CAR,@,WAS,L 7-40,,2,2,100.00,-4,0,0,79.2,0,0,-2.00,-2.00,0,0,,0,,0,0,0,0,0,0,0,0,3,7%,0,0%,0,0%,
25,2024,2024-10-27,8,8,23.094,CAR,@,DEN,L 14-28,*,24,37,64.86,224,2,2,76.9,2,9,6.05,4.70,3,6,2.00,0,,0,0,0,0,0,0,0,0,61,100%,0,0%,0,0%,
26,2024,2024-11-03,9,9,23.101,CAR,,NOR,W 23-22,*,16,26,61.54,171,1,1,77.6,1,5,6.58,5.62,4,9,2.25,0,,0,0,0,0,0,0,0,0,53,100%,0,0%,0,0%,
27,2024,2024-11-10,10,10,23.108,CAR,,NYG,W 20-17,*,15,25,60.00,126,1,0,86.4,1,8,5.04,5.84,2,30,15.00,0,,0,0,0,0,0,0,0,0,60,100%,0,0%,0,0%,
28,2024,2024-11-24,11,12,23.122,CAR,,KAN,L 27-30,*,21,35,60.00,263,1,0,92.9,2,14,7.51,8.09,3,20,6.67,0,,0,0,1,0,0,0,0,0,62,100%,0,0%,0,0%,
