Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
49,2023,2023-11-19,10,11,28.067,CAR,,DAL,L 10-33,,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,0,0,0%,0,0%,5,19%,
50,2023,2023-11-26,11,12,28.074,CAR,@,TEN,L 10-17,,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,0,0,0%,0,0%,5,21%,
51,2023,2023-12-03,12,13,28.081,CAR,@,TAM,L 18-21,,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,0,0,0%,0,0%,6,21%,
52,2023,2023-12-10,13,14,28.088,CAR,@,NOR,L 6-28,,,,,2,3,66.7,0,6,0.0,0,0,0,0,0,0,0%,0,0%,6,25%,
53,2023,2023-12-17,14,15,28.095,CAR,,ATL,W 9-7,,,,,3,3,100.0,0,9,0.0,0,0,0,0,0,0,0%,0,0%,4,21%,
54,2023,2023-12-24,15,16,28.102,CAR,,GNB,L 30-33,,1,3,33.3,1,1,100.0,0,4,0.0,0,0,0,0,0,0,0%,0,0%,10,33%,
55,2023,2023-12-31,16,17,,CAR,@,JAX,L 0-26,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
56,2023,2024-01-07,17,18,,CAR,,TAM,L 0-9,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
57,2024,2024-09-08,1,1,28.361,CAR,@,NOR,L 10-47,,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,0,0,0%,0,0%,4,13%,
58,2024,2024-09-15,2,2,29.002,CAR,,LAC,L 3-26,,,,,1,1,100.0,0,3,0.0,0,0,0,0,0,0,0%,0,0%,3,13%,
59,2024,2024-09-22,3,3,29.009,CAR,@,LVR,W 36-22,,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,0,0,0,0%,0,0%,14,47%,
60,2024,2024-09-29,4,4,29.016,CAR,,CIN,L 24-34,,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,0,0,0%,0,0%,9,32%,
61,2024,2024-10-06,5,5,29.023,CAR,@,CHI,L 10-36,,1,1,100.0,1,2,50.0,0,4,0.0,0,0,0,0,0,0,0%,0,0%,6,23%,
62,2024,2024-10-13,6,6,29.030,CAR,,ATL,L 20-38,,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,0,0,0,0%,0,0%,9,33%,
63,2024,2024-10-20,7,7,29.037,CAR,@,WAS,L 7-40,,1,1,100.0,,,,0,1,0.0,0,0,0,0,0,0,0%,0,0%,3,12%,
64,2024,2024-10-27,8,8,29.044,CAR,@,DEN,L 14-28,,2,2,100.0,,,,0,2,0.0,0,0,0,0,0,0,0%,0,0%,4,17%,
65,2024,2024-11-03,9,9,29.051,CAR,,NOR,W 23-22,,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,0,0,0%,0,0%,8,28%,
66,2024,2024-11-10,10,10,29.058,CAR,,NYG,W 20-17,,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,0,0,0,0%,0,0%,10,33%,
67,2024,2024-11-24,11,12,29.072,CAR,,KAN,L 27-30,,1,1,100.0,4,4,100.0,0,13,0.0,0,0,0,0,0,0,0%,0,0%,11,41%,
