Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct
175,2022,2022-12-18,14,15,32.313,CAR,,PIT,L 16-24,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,194,48.50,5,189,47.3,0,0.0%,1,25.0%,0,0,0%,0,0%,9,36%
176,2022,2022-12-24,15,16,32.319,CAR,,DET,W 37-23,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,117,39.00,0,117,39.0,1,33.3%,2,66.7%,0,0,0%,0,0%,10,35%
177,2022,2023-01-01,16,17,32.327,CAR,@,TAM,L 24-30,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,251,50.20,0,231,46.2,1,20.0%,3,60.0%,0,0,0%,0,0%,10,32%
178,2022,2023-01-08,17,18,32.334,CAR,@,NOR,W 10-7,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,281,46.83,0,281,46.8,0,0.0%,4,66.7%,0,0,0%,0,0%,8,40%
179,2023,2023-09-10,1,1,33.214,CAR,@,ATL,L 10-24,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,266,53.20,4,262,52.4,0,0.0%,1,20.0%,0,0,0%,0,0%,7,27%
180,2023,2023-09-18,2,2,33.222,CAR,,NOR,L 17-20,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,239,47.80,16,223,44.6,0,0.0%,2,40.0%,0,0,0%,0,0%,9,33%
181,2023,2023-09-24,3,3,33.228,CAR,@,SEA,L 27-37,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,246,49.20,41,205,41.0,0,0.0%,3,60.0%,0,0,0%,0,0%,12,34%
182,2023,2023-10-01,4,4,33.235,CAR,,MIN,L 13-21,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,229,45.80,21,188,37.6,1,20.0%,2,40.0%,0,0,0%,0,0%,8,36%
183,2023,2023-10-08,5,5,33.242,CAR,@,DET,L 24-42,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,114,38.00,0,114,38.0,0,0.0%,1,33.3%,0,0,0%,0,0%,7,26%
184,2023,2023-10-15,6,6,33.249,CAR,@,MIA,L 21-42,,1,1,100.00,7,0,0,95.8,0,0,7.00,7.00,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,189,47.25,0,189,47.3,0,0.0%,1,25.0%,0,0,0%,0,0%,9,30%
185,2023,2023-10-29,7,8,33.263,CAR,,HOU,W 15-13,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,203,50.75,42,161,40.3,0,0.0%,1,25.0%,0,0,0%,0,0%,10,42%
186,2023,2023-11-05,8,9,33.270,CAR,,IND,L 13-27,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,174,43.50,11,163,40.8,0,0.0%,2,50.0%,0,0,0%,0,0%,7,25%
187,2023,2023-11-09,9,10,33.274,CAR,@,CHI,L 13-16,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,272,45.33,12,260,43.3,0,0.0%,3,50.0%,0,0,0%,0,0%,10,36%
188,2023,2023-11-19,10,11,33.284,CAR,,DAL,L 10-33,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,242,48.40,0,222,44.4,1,20.0%,1,20.0%,0,0,0%,0,0%,8,30%
189,2023,2023-11-26,11,12,33.291,CAR,@,TEN,L 10-17,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,282,47.00,39,223,37.2,1,16.7%,2,33.3%,0,0,0%,0,0%,8,33%
190,2023,2023-12-03,12,13,33.298,CAR,@,TAM,L 18-21,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,8,367,45.88,21,346,43.3,0,0.0%,1,12.5%,0,0,0%,0,0%,10,34%
191,2023,2023-12-10,13,14,33.305,CAR,@,NOR,L 6-28,,0,0,,0,0,0,,0,0,,,1,-11,-11.00,0,,,,,,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,2,86,43.00,23,63,31.5,0,0.0%,0,0.0%,0,0,0%,0,0%,6,25%
192,2023,2023-12-17,14,15,33.312,CAR,,ATL,W 9-7,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,235,47.00,9,206,41.2,1,20.0%,2,40.0%,0,0,0%,0,0%,8,42%
193,2023,2023-12-24,15,16,33.319,CAR,,GNB,L 30-33,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,151,50.33,6,145,48.3,0,0.0%,1,33.3%,0,0,0%,0,0%,8,27%
194,2023,2023-12-31,16,17,33.326,CAR,@,JAX,L 0-26,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,297,49.50,17,260,43.3,1,16.7%,1,16.7%,0,0,0%,0,0%,6,26%
195,2023,2024-01-07,17,18,33.333,CAR,,TAM,L 0-9,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,246,41.00,0,246,41.0,0,0.0%,1,16.7%,0,0,0%,0,0%,7,35%
196,2024,2024-09-08,1,1,34.213,CAR,@,NOR,L 10-47,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,191,38.20,60,132,26.4,0,0.0%,0,0.0%,0,0,0%,0,0%,7,23%
197,2024,2024-09-15,2,2,34.220,CAR,,LAC,L 3-26,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,311,44.43,15,296,42.3,0,0.0%,2,28.6%,0,0,0%,0,0%,8,34%
198,2024,2024-09-22,3,3,34.227,CAR,@,LVR,W 36-22,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,177,44.25,0,177,44.3,0,0.0%,2,50.0%,0,0,0%,0,0%,10,33%
199,2024,2024-09-29,4,4,34.234,CAR,,CIN,L 24-34,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,102,51.00,3,99,49.5,0,0.0%,1,50.0%,0,0,0%,0,0%,7,25%
200,2024,2024-10-06,5,5,34.241,CAR,@,CHI,L 10-36,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,206,51.50,6,160,40.0,2,50.0%,1,25.0%,0,0,0%,0,0%,7,27%
201,2024,2024-10-13,6,6,34.248,CAR,,ATL,L 20-38,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,120,40.00,29,91,30.3,0,0.0%,1,33.3%,0,0,0%,0,0%,7,26%
202,2024,2024-10-20,7,7,34.255,CAR,@,WAS,L 7-40,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,252,50.40,15,230,46.0,0,0.0%,2,40.0%,0,0,0%,0,0%,6,23%
203,2024,2024-10-27,8,8,34.262,CAR,@,DEN,L 14-28,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,247,49.40,0,247,49.4,0,0.0%,1,20.0%,0,0,0%,0,0%,9,38%
204,2024,2024-11-03,9,9,34.269,CAR,,NOR,W 23-22,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,216,43.20,14,202,40.4,0,0.0%,3,60.0%,0,0,0%,0,0%,9,31%
205,2024,2024-11-10,10,10,34.276,CAR,,NYG,W 20-17,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,337,48.14,17,320,45.7,0,0.0%,3,42.9%,0,0,0%,0,0%,11,37%
206,2024,2024-11-24,11,12,34.290,CAR,,KAN,L 27-30,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,103,51.50,-4,107,53.5,0,0.0%,1,50.0%,0,0,0%,0,0%,7,26%
