Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct
28,2013,2013-12-01,12,13,23.296,STL,@,SFO,L 13-23,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,5,244,48.80,5,239,47.8,0,0.0%,1,20.0%,0,0,0%,0,0%,9,32%
29,2013,2013-12-08,13,14,23.303,STL,@,ARI,L 10-30,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,5,257,51.40,3,214,42.8,2,40.0%,0,0.0%,0,0,0%,0,0%,8,31%
30,2013,2013-12-15,14,15,23.310,STL,,NOR,W 27-16,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,4,167,41.75,0,167,41.8,0,0.0%,2,50.0%,0,0,0%,0,0%,11,41%
31,2013,2013-12-22,15,16,23.317,STL,,TAM,W 23-13,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,88,44.00,0,88,44.0,0,0.0%,1,50.0%,0,0,0%,0,0%,7,30%
32,2013,2013-12-29,16,17,23.324,STL,@,SEA,L 9-27,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,337,48.14,-2,339,48.4,0,0.0%,1,14.3%,0,0,0%,0,0%,9,31%
33,2014,2014-09-07,1,1,24.211,STL,,MIN,L 6-34,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,279,46.50,6,273,45.5,0,0.0%,2,33.3%,0,0,0%,0,0%,9,29%
34,2014,2014-09-14,2,2,24.218,STL,@,TAM,W 19-17,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,98,49.00,0,98,49.0,0,0.0%,1,50.0%,0,0,0%,0,0%,7,30%
35,2014,2014-09-21,3,3,24.225,STL,,DAL,L 31-34,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,1,24,24.00,0,24,24.0,0,0.0%,1,100.0%,0,0,0%,0,0%,6,22%
36,2014,2014-10-05,4,5,24.239,STL,@,PHI,L 28-34,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,4,166,41.50,23,143,28.6,0,0.0%,2,50.0%,1,0,0%,0,0%,9,29%
37,2014,2014-10-13,5,6,24.247,STL,,SFO,L 17-31,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,8,351,43.88,29,322,40.3,0,0.0%,2,25.0%,0,0,0%,0,0%,12,39%
38,2014,2014-10-19,6,7,24.253,STL,,SEA,W 28-26,,1,1,100.00,18,0,0,118.7,0,0,18.00,18.00,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,3,153,51.00,19,134,44.7,0,0.0%,1,33.3%,0,0,0%,0,0%,9,32%
39,2014,2014-10-26,7,8,24.260,STL,@,KAN,L 7-34,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,324,54.00,27,277,46.2,1,16.7%,1,16.7%,0,0,0%,0,0%,8,30%
40,2014,2014-11-02,8,9,24.267,STL,@,SFO,W 13-10,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,281,46.83,12,249,41.5,1,16.7%,2,33.3%,0,0,0%,0,0%,9,32%
41,2014,2014-11-09,9,10,24.274,STL,@,ARI,L 14-31,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,305,43.57,8,277,39.6,1,14.3%,2,28.6%,0,0,0%,0,0%,9,30%
42,2014,2014-11-16,10,11,24.281,STL,,DEN,W 22-7,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,260,43.33,0,260,43.3,0,0.0%,4,66.7%,0,0,0%,0,0%,12,44%
43,2014,2014-11-23,11,12,24.288,STL,@,SDG,L 24-27,,1,1,100.00,19,0,0,118.7,0,0,19.00,19.00,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,4,178,44.50,0,178,44.5,0,0.0%,2,50.0%,0,0,0%,0,0%,10,33%
44,2014,2014-11-30,12,13,24.295,STL,,OAK,W 52-0,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,275,45.83,4,251,41.8,1,16.7%,3,50.0%,0,0,0%,0,0%,14,44%
45,2014,2014-12-07,13,14,24.302,STL,@,WAS,W 24-0,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,4,174,43.50,3,171,42.8,0,0.0%,3,75.0%,0,0,0%,0,0%,10,43%
46,2014,2014-12-11,14,15,24.306,STL,,ARI,L 6-12,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,8,404,50.50,54,350,43.8,0,0.0%,3,37.5%,0,0,0%,0,0%,10,33%
