Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
18,2022,2022-09-11,1,1,23.092,CAR,,CLE,L 24-26,,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,6%,0,0%,21,66%,
19,2022,2022-09-18,2,2,23.099,CAR,@,NYG,L 16-19,,0,0,,0,0,0,0,,0,0.0%,,3,75,25.00,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,2,3%,0,0%,21,70%,
20,2022,2022-09-25,3,3,23.106,CAR,,NOR,W 22-14,,3,25,8.33,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,7,11%,0,0%,17,59%,
21,2022,2022-10-02,4,4,23.113,CAR,,ARI,L 16-26,,0,0,,0,0,0,0,,0,0.0%,,2,29,14.50,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,4,0,3,6%,0,0%,16,70%,
22,2022,2022-10-09,5,5,23.120,CAR,,SFO,L 15-37,,,,,,,,,,,0.0%,,,,,,,0,0,,,,,,,,,,,,,11,16%,0,0%,10,36%,
23,2022,2022-10-16,6,6,23.127,CAR,@,LAR,L 10-24,,2,6,3.00,0,1,1,1,1.00,0,100.0%,1.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,9%,0,0%,14,54%,
24,2022,2022-10-23,7,7,23.134,CAR,,TAM,W 21-3,*,9,63,7.00,1,3,2,10,5.00,0,66.7%,3.33,0,0,,0,,1,6,0.0,1,0,1,0,0,0,0,0,0,0,0,23,46%,0,0%,6,25%,
25,2022,2022-10-30,8,8,,CAR,@,ATL,L 34-37,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
26,2022,2022-11-06,9,9,,CAR,@,CIN,L 21-42,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,2022,2022-11-10,10,10,23.152,CAR,,ATL,W 25-15,,5,14,2.80,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,12,18%,0,0%,1,3%,
28,2022,2022-11-20,11,11,23.162,CAR,@,BAL,L 3-13,,4,0,0.00,0,3,2,25,12.50,0,66.7%,8.33,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,23,40%,0,0%,6,26%,
29,2022,2022-11-27,12,12,23.169,CAR,,DEN,W 23-10,,17,65,3.82,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,28,42%,0,0%,7,23%,
30,2022,2022-12-11,13,14,23.183,CAR,@,SEA,W 30-24,,14,74,5.29,1,3,3,25,8.33,0,100.0%,8.33,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,23,32%,0,0%,3,11%,
31,2022,2022-12-18,14,15,23.190,CAR,,PIT,L 16-24,,4,10,2.50,0,3,3,57,19.00,0,100.0%,19.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,63%,0,0%,5,20%,
32,2022,2022-12-24,15,16,23.196,CAR,,DET,W 37-23,*,12,125,10.42,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,46%,0,0%,6,21%,
33,2022,2023-01-01,16,17,23.204,CAR,@,TAM,L 24-30,,3,12,4.00,0,3,3,53,17.67,0,100.0%,17.67,0,0,,0,,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,35,53%,0,0%,6,19%,
34,2022,2023-01-08,17,18,23.211,CAR,@,NOR,W 10-7,,21,69,3.29,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,69%,0,0%,6,30%,
35,2023,2023-09-10,1,1,24.091,CAR,@,ATL,L 10-24,,9,60,6.67,0,2,2,9,4.50,0,100.0%,4.50,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,28,36%,0,0%,5,19%,
36,2023,2023-09-18,2,2,24.099,CAR,,NOR,L 17-20,,2,16,8.00,0,5,5,34,6.80,0,100.0%,6.80,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,22,37%,0,0%,11,41%,
37,2023,2023-09-24,3,3,24.105,CAR,@,SEA,L 27-37,,1,2,2.00,0,3,2,2,1.00,0,66.7%,0.67,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,27,34%,0,0%,16,46%,
38,2023,2023-10-01,4,4,24.112,CAR,,MIN,L 13-21,,14,41,2.93,0,2,2,12,6.00,0,100.0%,6.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,39,54%,0,0%,0,0%,
39,2023,2023-10-08,5,5,24.119,CAR,@,DET,L 24-42,,9,35,3.89,0,2,1,0,0.00,0,50.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,34,48%,0,0%,1,4%,
40,2023,2023-10-15,6,6,24.126,CAR,@,MIA,L 21-42,*,19,88,4.63,1,1,1,2,2.00,0,100.0%,2.00,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,53,77%,0,0%,1,3%,
41,2023,2023-10-29,7,8,24.140,CAR,,HOU,W 15-13,*,15,28,1.87,0,2,2,26,13.00,0,100.0%,13.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,67%,0,0%,0,0%,
42,2023,2023-11-05,8,9,24.147,CAR,,IND,L 13-27,*,16,58,3.63,0,6,4,9,2.25,0,66.7%,1.50,0,0,,0,,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,46,65%,0,0%,0,0%,
43,2023,2023-11-09,9,10,24.151,CAR,@,CHI,L 13-16,*,9,23,2.56,0,2,2,16,8.00,0,100.0%,8.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,30,50%,0,0%,6,21%,
44,2023,2023-11-19,10,11,24.161,CAR,,DAL,L 10-33,*,10,57,5.70,0,2,2,8,4.00,0,100.0%,4.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,49%,0,0%,0,0%,
45,2023,2023-11-26,11,12,24.168,CAR,@,TEN,L 10-17,*,14,45,3.21,1,5,5,47,9.40,0,100.0%,9.40,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,47,64%,0,0%,3,13%,
46,2023,2023-12-03,12,13,24.175,CAR,@,TAM,L 18-21,*,25,104,4.16,2,0,0,0,,0,0.0%,,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,47,65%,0,0%,8,28%,
47,2023,2023-12-10,13,14,24.182,CAR,@,NOR,L 6-28,*,23,87,3.78,0,2,2,9,4.50,0,100.0%,4.50,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,62,78%,0,0%,0,0%,
48,2023,2023-12-17,14,15,24.189,CAR,,ATL,W 9-7,*,22,87,3.95,0,2,2,16,8.00,0,100.0%,8.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,48,73%,0,0%,0,0%,
49,2023,2023-12-24,15,16,24.196,CAR,,GNB,L 30-33,*,16,43,2.69,1,1,1,8,8.00,0,100.0%,8.00,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,42,64%,0,0%,0,0%,
50,2023,2023-12-31,16,17,24.203,CAR,@,JAX,L 0-26,*,11,45,4.09,0,5,4,26,6.50,0,80.0%,5.20,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,38,70%,0,0%,0,0%,
51,2023,2024-01-07,17,18,24.210,CAR,,TAM,L 0-9,*,23,83,3.61,0,2,2,9,4.50,0,100.0%,4.50,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,81%,0,0%,0,0%,
52,2024,2024-09-08,1,1,25.089,CAR,@,NOR,L 10-47,*,6,14,2.33,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,32,54%,0,0%,0,0%,
53,2024,2024-09-15,2,2,25.096,CAR,,LAC,L 3-26,*,10,64,6.40,0,5,4,12,3.00,0,80.0%,2.40,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,28,58%,0,0%,0,0%,
54,2024,2024-09-22,3,3,25.103,CAR,@,LVR,W 36-22,*,21,114,5.43,0,5,5,55,11.00,1,100.0%,11.00,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,43,58%,0,0%,0,0%,
55,2024,2024-09-29,4,4,25.110,CAR,,CIN,L 24-34,*,18,104,5.78,1,4,4,17,4.25,0,100.0%,4.25,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,52,74%,0,0%,0,0%,
56,2024,2024-10-06,5,5,25.117,CAR,@,CHI,L 10-36,*,13,97,7.46,1,4,4,-2,-0.50,0,100.0%,-0.50,0,0,,0,,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,39,65%,0,0%,0,0%,
57,2024,2024-10-13,6,6,25.124,CAR,,ATL,L 20-38,*,18,92,5.11,0,6,5,11,2.20,0,83.3%,1.83,0,0,,0,,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,54,82%,0,0%,0,0%,
58,2024,2024-10-20,7,7,25.131,CAR,@,WAS,L 7-40,*,17,52,3.06,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,36,84%,0,0%,0,0%,
59,2024,2024-10-27,8,8,25.138,CAR,@,DEN,L 14-28,*,15,56,3.73,0,2,2,15,7.50,0,100.0%,7.50,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,74%,0,0%,0,0%,
60,2024,2024-11-03,9,9,25.145,CAR,,NOR,W 23-22,*,15,72,4.80,2,3,2,0,0.00,0,66.7%,0.00,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,42,79%,0,0%,0,0%,
61,2024,2024-11-10,10,10,25.152,CAR,,NYG,W 20-17,*,28,153,5.46,1,6,4,16,4.00,0,66.7%,2.67,0,0,,0,,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,53,88%,0,0%,0,0%,
62,2024,2024-11-24,11,12,25.166,CAR,,KAN,L 27-30,*,16,58,3.63,1,5,1,2,2.00,0,20.0%,0.40,0,0,,0,1,1,8,0.0,0,0,0,0,0,0,0,0,0,0,0,55,89%,0,0%,0,0%,
