Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
36,2021,2021-10-03,4,4,24.155,PHI,,KAN,L 30-42,*,7,13,1.86,0,3,3,34,11.33,0,100.0%,11.33,0,0,,0,,0,0,0,0,0,0,0,0,47,64%,0,0%,0,0%,
37,2021,2021-10-10,5,5,24.162,PHI,@,CAR,W 21-18,*,11,45,4.09,0,5,5,6,1.20,0,100.0%,1.20,0,0,,0,,0,0,0,0,0,0,0,0,50,75%,0,0%,0,0%,
38,2021,2021-10-14,6,6,24.166,PHI,,TAM,L 22-28,*,9,56,6.22,0,4,2,10,5.00,0,50.0%,2.50,0,0,,0,,0,0,0,0,0,0,0,0,43,83%,0,0%,0,0%,
39,2021,2021-10-24,7,7,24.176,PHI,@,LVR,L 22-33,*,6,30,5.00,0,1,1,-3,-3.00,0,100.0%,-3.00,0,0,,0,,0,0,0,0,0,0,0,0,12,17%,0,0%,0,0%,
40,2021,2021-10-31,8,8,,PHI,@,DET,W 44-6,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
41,2021,2021-11-07,9,9,,PHI,,LAC,L 24-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
42,2021,2021-11-14,10,10,,PHI,@,DEN,W 30-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
43,2021,2021-11-21,11,11,24.204,PHI,,NOR,W 40-29,*,16,94,5.88,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,1,1,0,0,0,0,36,46%,0,0%,0,0%,
44,2021,2021-11-28,12,12,24.211,PHI,@,NYG,L 7-13,*,9,64,7.11,0,1,1,0,0.00,0,100.0%,0.00,0,0,,0,,0,0,0,0,0,0,0,0,22,33%,0,0%,0,0%,
45,2021,2021-12-05,13,13,24.218,PHI,@,NYJ,W 33-18,*,24,120,5.00,0,3,3,22,7.33,0,100.0%,7.33,0,0,,0,,0,0,0,0,0,0,0,0,41,58%,0,0%,0,0%,
