No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
5.0,David Montgomery,27.0,RB,9,9.0,224.0,5-11,Iowa St.,6/7/1997,5,,Chicago Bears / 3rd / 73rd pick / 2019,MontDa01
69.0,Al-Quadin Muhammad,29.0,DL,3,2.0,250.0,6-3,Miami (FL),3/28/1995,7,,New Orleans Saints / 6th / 196th pick / 2017,MuhaAl00
51.0,Ben Niemann,29.0,LB,9,1.0,235.0,6-2,Iowa,7/27/1995,6,,,NiemBe00
62.0,Michael Niese,26.0,OL,9,0.0,295.0,6-5,DaytonTemple,1/13/1998,1,,,NiesMi00
53.0,Trevor Nowaske,26.0,LB,7,2.0,235.0,6-3,Saginaw Valley St.,11/7/1998,1,,,NowaTr00
95.0,Pat O'Connor,31.0,DL,4,0.0,270.0,6-4,Eastern Michigan,11/1/1993,7,,Detroit Lions / 7th / 250th pick / 2017,OConPa00
91.0,Levi Onwuzurike,26.0,DL,9,6.0,290.0,6-3,Washington,3/2/1998,3,,Detroit Lions / 2nd / 41st pick / 2021,OnwuLe00
93.0,Josh Paschal,25.0,DL,7,3.0,274.0,6-3,Kentucky,12/17/1999,2,,Detroit Lions / 2nd / 46th pick / 2022,PascJo00
17.0,Tim Patrick,31.0,WR,8,3.0,212.0,6-4,Utah,11/23/1993,6,,,PatrTi00
77.0,Frank Ragnow,28.0,C,8,8.0,310.0,6-5,Arkansas,5/17/1996,6,,Detroit Lions / 1st / 20th pick / 2018,RagnFr00
15.0,Ennis Rakestraw,22.0,CB,7,0.0,191.0,5-11,Missouri,6/5/2002,Rook,,Detroit Lions / 2nd / 61st pick / 2024,RakeEn00
11.0,Kalif Raymond,30.0,WR,9,1.0,180.0,5-8,Holy Cross,8/8/1994,8,,,RaymKa00
98.0,D.J. Reader,30.0,DL,8,8.0,335.0,6-3,Clemson,7/1/1994,8,,Houston Texans / 5th / 166th pick / 2016,ReadD.00
13.0,Craig Reynolds,28.0,RB,9,0.0,216.0,5-11,Kutztown (PA),6/15/1996,5,,,ReynCr00
21.0,Amik Robertson,26.0,CB,9,1.0,183.0,5-9,Louisiana Tech,7/6/1998,4,,Las Vegas Raiders / 4th / 139th pick / 2020,RobeAm00
8.0,Allen Robinson,31.0,WR,5,0.0,210.0,6-2,Penn St.,8/24/1993,10,,Jacksonville Jaguars / 2nd / 61st pick / 2014,RobiAl02
44.0,Malcolm Rodriguez,25.0,LB,7,3.0,234.0,5-11,Oklahoma St.,3/29/1999,2,,Detroit Lions / 6th / 188th pick / 2022,RodrMa00
58.0,Penei Sewell,24.0,T,9,9.0,335.0,6-5,Oregon,10/9/2000,3,,Detroit Lions / 1st / 7th pick / 2021,SewePe00
70.0,Dan Skipper,30.0,T,9,3.0,330.0,6-9,Arkansas,9/20/1994,7,,,SkipDa00
,Za'Darius Smith,32.0,DL,0,0.0,270.0,6-4,East Mississippi CCKentucky,9/8/1992,9,,Baltimore Ravens / 4th / 122nd pick / 2015,SmitZa00
75.0,Colby Sorsdal,24.0,OL,1,0.0,315.0,6-6,William & Mary,3/1/2000,1,,Detroit Lions / 5th / 152nd pick / 2023,SorsCo00
14.0,Amon-Ra St. Brown,25.0,WR,9,9.0,202.0,6-0,USC,10/24/1999,3,,Detroit Lions / 4th / 112th pick / 2021,StxxAm00
24.0,Loren Strickland,24.0,S,4,0.0,202.0,5-10,IndianapolisBall St.,5/31/2000,Rook,,,StriLo00
47.0,Zeke Turner,28.0,LB,1,0.0,214.0,6-2,Washington,6/9/1996,6,,,TurnZe00
33.0,Sione Vaki,23.0,RB,8,0.0,213.0,5-11,Utah,7/30/2001,Rook,,Detroit Lions / 4th / 132nd pick / 2024,VakiSi00
29.0,Kindle Vildor,27.0,CB,9,0.0,189.0,5-11,Georgia Southern,12/11/1997,4,,Chicago Bears / 5th / 163rd pick / 2020,VildKi00
9.0,Jameson Williams,23.0,WR,7,5.0,180.0,6-1,Ohio St.Alabama,3/26/2001,2,,Detroit Lions / 1st / 12th pick / 2022,WillJa11
94.0,Mekhi Wingo,21.0,DL,8,0.0,291.0,6-0,MissouriLSU,4/17/2003,Rook,,Detroit Lions / 6th / 189th pick / 2024,WingMe00
89.0,Brock Wright,26.0,TE,9,5.0,250.0,6-5,Notre Dame,11/27/1998,3,,,WrigBr01
71.0,Kevin Zeitler,34.0,G,8,8.0,340.0,6-4,Wisconsin,3/8/1990,12,,Cincinnati Bengals / 1st / 27th pick / 2012,ZeitKe00
84.0,Shane Zylstra,28.0,TE,4,0.0,240.0,6-4,Minnesota St.,11/16/1996,3,,,ZylsSh00
96.0,Brodric Martin (IRD),25.0,DL,0,0.0,330.0,6-5,North AlabamaWestern Kentucky,5/24/1999,1,,Detroit Lions / 3rd / 96th pick / 2023,MartBr00
4.0,Emmanuel Moseley (IRD),28.0,CB,0,0.0,195.0,5-11,Tennessee,3/25/1996,6,,,MoseEm00
61.0,David Bada (IR),29.0,DL,0,0.0,287.0,6-5,,5/24/1995,2,,,BadaDa00
17.0,Michael Badgley (IR),29.0,K,0,0.0,188.0,5-10,Miami (FL),7/28/1995,6,,,BadgMi00
55.0,Derrick Barnes (IR),25.0,LB,3,3.0,240.0,6-0,Purdue,5/29/1999,3,,Detroit Lions / 4th / 113th pick / 2021,BarnDe02
79.0,John Cominsky (IR),29.0,DL,0,0.0,285.0,6-5,Charleston (WV),11/22/1995,5,,Atlanta Falcons / 4th / 135th pick / 2019,ComiJo00
92.0,Marcus Davenport (IR),28.0,DL,2,1.0,265.0,6-6,Texas-San Antonio,9/4/1996,6,,New Orleans Saints / 1st / 14th pick / 2018,DaveMa00
76.0,Connor Galvin (IR),24.0,OL,0,0.0,300.0,6-7,Baylor,3/11/2000,1,,,GalvCo00
18.0,Antoine Green (IR),25.0,WR,0,0.0,199.0,6-2,North Carolina,11/15/1999,1,,Detroit Lions / 7th / 219th pick / 2023,GreeAn00
97.0,Aidan Hutchinson (IR),24.0,DL,5,5.0,268.0,6-7,Michigan,8/9/2000,2,,Detroit Lions / 1st / 2nd pick / 2022,HutcAi00
57.0,Nate Lynn (IR),22.0,DL,0,0.0,256.0,6-3,William & Mary,7/6/2002,Rook,,,LynnNa00
6.0,Ifeatu Melifonwu (IR),25.0,S,0,0.0,210.0,6-3,Syracuse,5/2/1999,3,,Detroit Lions / 3rd / 101st pick / 2021,MeliIf00
52.0,Netane Muti (IR),25.0,G,0,0.0,315.0,6-3,Fresno St.,3/27/1999,4,,Denver Broncos / 6th / 181st pick / 2020,MutiNe00
96.0,Kyle Peko (IR),31.0,DL,5,1.0,305.0,6-1,Oregon St.,7/23/1993,8,,,PekoKy00
42.0,Jalen Reeves-Maybin (IR),29.0,LB,8,0.0,226.0,6-1,Tennessee,1/31/1995,7,,Detroit Lions / 4th / 124th pick / 2017,ReevJa00
,Team Total,26.5,,9,,245.5,6-1.9,,,3.6,,,-9999
