No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
99.0,Chauncey Golston,26.0,DE,9,5.0,268.0,6-5,Iowa,2/10/1998,3,,Dallas Cowboys / 3rd / 84th pick / 2021,GolsCh00
29.0,C.J. Goodwin,34.0,CB,9,0.0,190.0,6-3,California (PA),2/4/1990,8,,,GoodC.00
60.0,Tyler Guyton,23.0,OT,7,7.0,322.0,6-7,TCUOklahoma,6/11/2001,Rook,,Dallas Cowboys / 1st / 29th pick / 2024,GuytTy00
52.0,K.J. Henry,25.0,DE,2,0.0,255.0,6-4,Clemson,1/27/1999,1,,Washington Commanders / 5th / 137th pick / 2023,HenrKJ00
67.0,Brock Hoffman,25.0,C,9,0.0,302.0,6-4,Coastal CarolinaVirginia Tech,7/2/1999,2,,,HoffBr00
28.0,Malik Hooker,28.0,S,9,9.0,212.0,6-2,Ohio St.,4/2/1996,7,,Indianapolis Colts / 1st / 15th pick / 2017,HookMa00
57.0,Buddy Johnson,25.0,LB,6,0.0,240.0,6-2,Texas A&M,2/27/1999,3,,Pittsburgh Steelers / 4th / 140th pick / 2021,JohnBu01
93.0,Linval Joseph,36.0,DT,9,0.0,329.0,6-4,East Carolina,10/10/1988,14,,New York Giants / 2nd / 46th pick / 2010,JoseLi99
50.0,Eric Kendricks,32.0,MLB,8,8.0,232.0,6-0,UCLA,2/29/1992,9,,Minnesota Vikings / 2nd / 45th pick / 2015,KendEr00
88.0,CeeDee Lamb,25.0,WR,9,9.0,200.0,6-2,Oklahoma,4/8/1999,4,,Dallas Cowboys / 1st / 17th pick / 2020,LambCe00
19.0,Trey Lance,24.0,QB,1,0.0,226.0,6-4,North Dakota St.,5/9/2000,3,,San Francisco 49ers / 1st / 3rd pick / 2021,LancTr00
55.0,Carl Lawson,29.0,DE,7,3.0,260.0,6-2,Auburn,6/29/1995,7,,Cincinnati Bengals / 4th / 116th pick / 2017,LawsCa00
2.0,Jourdan Lewis,29.0,CB,9,6.0,195.0,5-10,Michigan,8/31/1995,7,,Dallas Cowboys / 3rd / 92nd pick / 2017,LewiJo01
35.0,Marist Liufau,23.0,LB,9,4.0,239.0,6-2,Notre Dame,2/9/2001,Rook,,Dallas Cowboys / 3rd / 87th pick / 2024,LiufMa00
40.0,Hunter Luepke,24.0,RB,9,2.0,238.0,6-1,North Dakota St.,2/28/2000,1,,,LuepHu00
70.0,Zack Martin,34.0,G,9,9.0,315.0,6-4,Notre Dame,11/20/1990,10,,Dallas Cowboys / 1st / 16th pick / 2014,MartZa00
81.0,Jonathan Mingo,23.0,WR,0,0.0,220.0,6-2,Mississippi,4/20/2001,1,,Carolina Panthers / 2nd / 39th pick / 2023,MingJo00
24.0,Israel Mukuamu,25.0,S,9,0.0,205.0,6-4,South Carolina,11/28/1999,3,,Dallas Cowboys / 6th / 227th pick / 2021,MukuIs00
97.0,Osa Odighizuwa,26.0,DT,9,9.0,280.0,6-2,UCLA,8/13/1998,3,,Dallas Cowboys / 3rd / 75th pick / 2021,OdigOs00
13.0,DeMarvion Overshown,24.0,LB,9,8.0,220.0,6-2,Texas,8/13/2000,1,,Dallas Cowboys / 3rd / 90th pick / 2023,OverDe00
11.0,Micah Parsons,25.0,LB,5,5.0,245.0,6-3,Penn St.,5/26/1999,3,,Dallas Cowboys / 1st / 12th pick / 2021,ParsMi00
76.0,Asim Richards,24.0,OL,9,1.0,307.0,6-4,North Carolina,10/2/2000,1,,Dallas Cowboys / 5th / 169th pick / 2023,RichAs00
10.0,Cooper Rush,31.0,QB,5,1.0,225.0,6-3,Central Michigan,11/21/1993,7,,,RushCo00
86.0,Luke Schoonmaker,26.0,TE,9,2.0,250.0,6-5,Michigan,9/28/1998,1,,Dallas Cowboys / 2nd / 58th pick / 2023,SchoLu00
44.0,Trent Sieg,29.0,LS,9,0.0,240.0,6-3,Colorado St.,5/19/1995,6,,,SiegTr00
58.0,Mazi Smith,23.0,DT,9,9.0,337.0,6-3,Michigan,6/16/2001,1,,Dallas Cowboys / 1st / 26th pick / 2023,SmitMa06
73.0,Tyler Smith,23.0,OL,9,9.0,332.0,6-6,Tulsa,4/3/2001,2,,Dallas Cowboys / 1st / 24th pick / 2022,SmitTy02
89.0,Brevyn Spann-Ford,25.0,TE,9,0.0,270.0,6-7,Minnesota,12/27/1999,Rook,,,SpanBr00
78.0,Terence Steele,27.0,T,9,9.0,310.0,6-6,Texas Tech,6/4/1997,4,,,SteeTe01
30.0,Juanyeh Thomas,24.0,S,8,0.0,217.0,6-3,Georgia Tech,6/24/2000,1,,,ThomJu03
1.0,Jalen Tolbert,25.0,WR,9,9.0,195.0,6-1,South Alabama,2/27/1999,2,,Dallas Cowboys / 3rd / 88th pick / 2022,TolbJa00
9.0,KaVontae Turpin,28.0,WR,9,1.0,153.0,5-9,TCU,8/2/1996,2,,,TurpKa00
42.0,Deuce Vaughn,23.0,RB,5,0.0,176.0,5-6,Kansas St.,11/2/2001,1,,Dallas Cowboys / 6th / 212th pick / 2023,VaugDe00
41.0,Nick Vigil,31.0,LB,8,0.0,239.0,6-2,Utah St.,8/20/1993,8,,Cincinnati Bengals / 3rd / 87th pick / 2016,VigiNi00
79.0,Matt Waletzko,25.0,OT,1,0.0,305.0,6-6,North Dakota,12/15/1999,2,,Dallas Cowboys / 5th / 155th pick / 2022,WaleMa00
92.0,Carlos Watkins,31.0,DE,7,0.0,305.0,6-3,Clemson,12/5/1993,7,,Houston Texans / 4th / 142nd pick / 2017,WatkCa00
91.0,Tyrus Wheat,25.0,DE,7,0.0,260.0,6-2,Copiah-Lincoln CCMississippi St.,12/8/1999,1,,,WheaTy02
6.0,Donovan Wilson,29.0,S,9,9.0,204.0,6-0,Texas A&M,2/21/1995,5,,Dallas Cowboys / 6th / 213th pick / 2019,WilsDo01
71.0,Chuma Edoga (IRD),27.0,G,0,0.0,308.0,6-3,USC,5/25/1997,5,,New York Jets / 3rd / 92nd pick / 2019,EdogCh00
64.0,Earl Bostick (IR),26.0,T,0,0.0,310.0,6-6,Kansas,12/31/1998,Rook,,,BostEa00
3.0,Brandin Cooks (IR),31.0,WR,4,4.0,189.0,5-10,Oregon St.,9/25/1993,10,,New Orleans Saints / 1st / 20th pick / 2014,CookBr00
94.0,Marshawn Kneeland (IR),23.0,DE,5,1.0,268.0,6-3,Western Michigan,7/8/2001,Rook,,Dallas Cowboys / 2nd / 56th pick / 2024,KneeMa00
90.0,DeMarcus Lawrence (IR),32.0,DE,4,4.0,265.0,6-3,Butler (KS)Boise St.,4/28/1992,10,,Dallas Cowboys / 2nd / 34th pick / 2014,LawrDe00
27.0,Amani Oruwariye (IR),28.0,CB,4,2.0,200.0,6-2,Penn St.,2/9/1996,5,,Detroit Lions / 5th / 146th pick / 2019,OruwAm00
4.0,Dak Prescott (IR),31.0,QB,8,8.0,238.0,6-2,Mississippi St.,7/29/1993,8,,Dallas Cowboys / 4th / 135th pick / 2016,PresDa01
81.0,John Stephens (IR),25.0,TE,0,0.0,221.0,6-5,Louisiana,9/23/1999,Rook,,,StepJo02
62.0,Nathan Thomas (IR),23.0,OT,0,0.0,331.0,6-4,Louisiana,8/22/2001,Rook,,Dallas Cowboys / 7th / 233rd pick / 2024,ThomNa01
54.0,Sam Williams (IR),25.0,DE,0,0.0,261.0,6-4,Northeast Mississippi CCMississippi,3/31/1999,2,,Dallas Cowboys / 2nd / 56th pick / 2022,WillSa00
,Team Total,26.8,,9,,242.4,6-2.4,,,3.7,,,-9999
