No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
31.0,Emanuel Wilson,25.0,RB,9,0.0,226.0,5-10,Johnson C. SmithFort Valley St.,5/8/1999,1,,,WilsEm00
45.0,Eric Wilson,30.0,LB,9,6.0,230.0,6-1,Cincinnati,9/26/1994,7,,,WilsEr00
96.0,Colby Wooden,24.0,DL,6,0.0,273.0,6-4,Auburn,12/21/2000,1,,Green Bay Packers / 4th / 116th pick / 2023,WoodCo01
95.0,Devonte Wyatt,26.0,DL,6,0.0,304.0,6-3,Hutchinson (KS)Georgia,3/31/1998,2,,Green Bay Packers / 1st / 28th pick / 2022,WyatDe00
32.0,MarShawn Lloyd (IRD),23.0,RB,1,0.0,220.0,5-9,South CarolinaUSC,1/5/2001,Rook,,Green Bay Packers / 3rd / 88th pick / 2024,LloyMa00
40.0,LJ Davis (IR),26.0,CB,0,0.0,203.0,6-1,Northern Arizona,12/30/1998,Rook,,,DaviLJ00
84.0,Tyler Davis (IR),27.0,TE,0,0.0,252.0,6-4,ConnecticutGeorgia Tech,4/2/1997,4,,Jacksonville Jaguars / 6th / 206th pick / 2020,DaviTy02
28.0,AJ Dillon (IR),26.0,RB,0,0.0,247.0,6-0,Boston Col.,5/2/1998,4,,Green Bay Packers / 2nd / 62nd pick / 2020,DillAJ00
88.0,Luke Musgrave (IR),24.0,TE,4,2.0,253.0,6-6,Oregon St.,9/2/2000,1,,Green Bay Packers / 2nd / 42nd pick / 2023,MusgLu00
,Team Total,25.4,,9,,243.6,6-2.4,,,2.5,,,-9999
