No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
29.0,Tyrique Stevenson,24.0,DB,8,6.0,204.0,6-0,GeorgiaMiami (FL),5/26/2000,1,,Chicago Bears / 2nd / 56th pick / 2023,StevTy01
98.0,Montez Sweat,28.0,DL,8,8.0,262.0,6-6,Michigan St.Copiah-Lincoln CCMississippi St.,9/4/1996,5,,Washington Redskins / 1st / 26th pick / 2019,SweaMo00
4.0,D'Andre Swift,25.0,RB,9,9.0,215.0,5-9,Georgia,1/14/1999,4,,Detroit Lions / 2nd / 35th pick / 2020,SwifDA00
52.0,Darrell Taylor,27.0,DL,8,0.0,267.0,6-4,Tennessee,3/24/1997,3,,Seattle Seahawks / 2nd / 48th pick / 2020,TaylDa00
19.0,Tory Taylor,27.0,P,9,0.0,223.0,6-4,Iowa,7/10/1997,Rook,,Chicago Bears / 4th / 122nd pick / 2024,TaylTo01
95.0,DeMarcus Walker,30.0,DL,9,9.0,280.0,6-4,Florida St.,9/30/1994,7,,Denver Broncos / 2nd / 51st pick / 2017,WalkDe03
18.0,Caleb Williams,23.0,QB,9,9.0,215.0,6-1,OklahomaUSC,11/18/2001,Rook,,Chicago Bears / 1st / 1st pick / 2024,WillCa03
91.0,Chris Williams,26.0,DT,9,0.0,302.0,6-3,Wagner,6/16/1998,3,,,WillCh08
58.0,Darnell Wright,23.0,OL,8,8.0,333.0,6-6,Tennessee,8/10/2001,1,,Chicago Bears / 1st / 10th pick / 2023,WrigDa00
87.0,Tommy Sweeney (PRA_),29.0,TE,0,0.0,255.0,6-5,Boston Col.,7/1/1995,5,,Buffalo Bills / 7th / 228th pick / 2019,SweeTo00
97.0,Andrew Billings (IR),29.0,DL,8,8.0,311.0,6-1,Baylor,3/6/1995,7,,Cincinnati Bengals / 4th / 122nd pick / 2016,BillAn00
88.0,Stephen Carlson (IR),28.0,TE,0,0.0,240.0,6-4,Princeton,12/12/1996,5,,,CarlSt00
21.0,Jaylon Jones (IR),27.0,DB,8,1.0,190.0,5-11,Mississippi,10/14/1997,2,,,JoneJa12
60.0,Bill Murray (IR),27.0,OL,3,0.0,307.0,6-4,William & Mary,7/3/1997,2,,,MurrBi00
48.0,Patrick Scales (IR),36.0,LS,0,0.0,226.0,6-3,Utah St.,2/11/1988,10,,,ScalPa00
83.0,Nsimba Webster (IR),28.0,WR,0,0.0,180.0,5-10,Eastern Washington,1/27/1996,5,,,WebsNs00
33.0,Ian Wheeler (IR),23.0,RB,0,0.0,205.0,5-11,Howard,9/15/2001,Rook,,,WheeIa00
,Team Total,26.4,,9,,246.0,6-2.1,,,3.5,,,-9999
