Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Ret,Yds,Y/R,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
36,2019,2019-09-26,4,4,24.144,GNB,,PHI,L 27-34,*,0,0,,0,0.0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,55,89%,0,0%,
37,2019,2019-10-06,5,5,24.154,GNB,@,DAL,W 34-24,*,0,0,,0,0.0,6,0,6,0,0,1,15,0,2,0,0,1,0,0,0,0,0%,37,52%,1,3%,
38,2019,2019-10-14,6,6,24.162,GNB,,DET,W 23-22,*,0,0,,0,0.0,3,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,54,98%,0,0%,
39,2019,2019-10-20,7,7,24.168,GNB,,OAK,W 42-24,*,0,0,,0,0.0,3,1,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0%,58,88%,1,4%,
40,2019,2019-10-27,8,8,24.175,GNB,@,KAN,W 31-24,*,0,0,,0,0.0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,59,100%,2,7%,
41,2019,2019-11-03,9,9,24.182,GNB,@,LAC,L 11-26,*,0,0,,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,20,28%,0,0%,
42,2019,2019-11-10,10,10,24.189,GNB,,CAR,W 24-16,*,0,0,,0,0.0,9,0,9,1,0,0,0,0,3,0,0,0,0,0,0,0,0%,72,100%,2,9%,
43,2019,2019-11-24,11,12,24.203,GNB,@,SFO,L 8-37,*,0,0,,0,0.0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,34,71%,0,0%,
44,2019,2019-12-01,12,13,24.210,GNB,@,NYG,W 31-13,*,0,0,,0,0.0,2,1,3,0,0,1,11,0,2,0,0,0,0,0,0,0,0%,47,71%,1,5%,
45,2019,2019-12-08,,14,,GNB,,WAS,W 20-15,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
46,2019,2019-12-15,14,15,24.224,GNB,,CHI,W 21-13,*,0,0,,0,0.0,4,0,4,0,0,0,-11,0,0,0,0,0,0,0,0,0,0%,84,100%,2,7%,
47,2019,2019-12-23,15,16,24.232,GNB,@,MIN,W 23-10,*,0,0,,0,0.0,3,1,4,1,0,1,39,0,1,0,0,0,0,0,0,0,0%,54,100%,3,11%,
48,2019,2019-12-29,16,17,24.238,GNB,@,DET,W 23-20,*,0,0,,0,0.0,2,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,58,97%,2,6%,
49,2020,2020-09-13,1,1,25.131,GNB,@,MIN,W 43-34,*,0,0,,0,0.0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,51,98%,0,0%,
