Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct,Status
71,2019,2019-10-27,7,8,25.148,TAM,@,TEN,L 23-27,,0.0,0,1,1,0,0,3,129,43.00,0,129,43.0,0,0.0%,2,66.7%,0,0,0%,0,0%,12,41%,
72,2019,2019-11-03,8,9,25.155,TAM,@,SEA,L 34-40,,0.0,0,0,0,0,0,4,161,40.25,15,146,36.5,0,0.0%,1,25.0%,0,0,0%,0,0%,19,53%,
73,2019,2019-11-10,9,10,25.162,TAM,,ARI,W 30-27,,0.0,0,0,0,0,0,3,142,47.33,2,140,46.7,0,0.0%,2,66.7%,0,0,0%,0,0%,17,53%,
74,2019,2019-11-17,10,11,25.169,TAM,,NOR,L 17-34,,0.0,0,0,0,0,0,3,129,43.00,32,97,32.3,0,0.0%,1,33.3%,0,0,0%,0,0%,10,38%,
75,2019,2019-11-24,11,12,25.176,TAM,@,ATL,W 35-22,,0.0,0,0,0,0,0,4,175,43.75,8,167,41.8,0,0.0%,3,75.0%,0,0,0%,0,0%,18,53%,
76,2019,2019-12-01,12,13,25.183,TAM,@,JAX,W 28-11,,0.0,0,0,0,0,0,4,193,48.25,48,125,31.3,1,25.0%,0,0.0%,0,1,1%,0,0%,15,63%,
77,2019,2019-12-08,13,14,25.190,TAM,,IND,W 38-35,,0.0,0,0,0,0,0,2,91,45.50,34,57,28.5,0,0.0%,0,0.0%,0,0,0%,0,0%,15,48%,
78,2019,2019-12-15,14,15,25.197,TAM,@,DET,W 38-17,,0.0,0,0,0,0,0,3,109,36.33,0,109,36.3,0,0.0%,2,66.7%,0,0,0%,0,0%,18,60%,
79,2019,2019-12-21,15,16,25.203,TAM,,HOU,L 20-23,,0.0,0,0,0,0,0,2,81,40.50,10,71,35.5,0,0.0%,1,50.0%,0,0,0%,0,0%,12,40%,
80,2019,2019-12-29,16,17,25.211,TAM,,ATL,L 22-28,,0.0,0,0,0,0,0,3,120,40.00,3,117,39.0,0,0.0%,0,0.0%,0,1,2%,0,0%,13,46%,
81,2020,2020-09-13,1,1,26.104,TAM,@,NOR,L 23-34,,0.0,0,0,0,0,0,5,236,47.20,59,177,35.4,0,0.0%,0,0.0%,0,0,0%,0,0%,13,39%,
82,2020,2020-09-20,2,2,26.111,TAM,,CAR,W 31-17,,0.0,0,0,0,0,0,4,168,42.00,-1,169,42.3,0,0.0%,2,50.0%,0,0,0%,0,0%,15,60%,
83,2020,2020-09-27,3,3,26.118,TAM,@,DEN,W 28-10,,0.0,0,0,0,0,0,5,219,43.80,0,199,39.8,1,20.0%,3,60.0%,0,0,0%,0,0%,17,59%,
84,2020,2020-10-04,4,4,26.125,TAM,,LAC,W 38-31,,0.0,1,0,1,0,0,3,171,57.00,10,161,53.7,0,0.0%,2,66.7%,0,0,0%,0,0%,17,53%,
85,2020,2020-10-08,5,5,26.129,TAM,@,CHI,L 19-20,,0.0,0,0,0,0,0,3,140,46.67,6,134,44.7,0,0.0%,1,33.3%,0,0,0%,0,0%,14,50%,
86,2020,2020-10-18,6,6,26.139,TAM,,GNB,W 38-10,,0.0,0,0,0,0,0,5,192,38.40,0,192,38.4,0,0.0%,1,20.0%,0,0,0%,0,0%,18,60%,
87,2020,2020-10-25,7,7,26.146,TAM,@,LVR,W 45-20,,0.0,0,0,0,0,0,3,128,42.67,0,128,42.7,0,0.0%,1,33.3%,0,0,0%,0,0%,18,58%,
88,2020,2020-11-02,8,8,26.154,TAM,@,NYG,W 25-23,,0.0,0,0,0,0,0,3,126,42.00,11,115,38.3,0,0.0%,1,33.3%,0,0,0%,0,0%,15,56%,
89,2020,2020-11-08,9,9,26.160,TAM,,NOR,L 3-38,,0.0,0,0,0,0,0,4,161,40.25,30,131,32.8,0,0.0%,0,0.0%,0,0,0%,0,0%,7,33%,
90,2020,2020-11-15,10,10,26.167,TAM,@,CAR,W 46-23,,0.0,0,0,0,0,0,0,0,,,,,,,,,0,0,0%,0,0%,19,59%,
91,2020,2020-11-23,11,11,26.175,TAM,,LAR,L 24-27,,0.0,0,0,0,0,0,5,245,49.00,4,221,44.2,1,20.0%,2,40.0%,0,0,0%,0,0%,14,47%,
92,2020,2020-11-29,12,12,26.181,TAM,,KAN,L 24-27,,0.0,0,0,0,0,0,4,208,52.00,20,188,47.0,0,0.0%,1,25.0%,0,0,0%,0,0%,14,48%,
93,2020,2020-12-13,13,14,26.195,TAM,,MIN,W 26-14,,0.0,0,0,0,0,0,3,151,50.33,15,136,45.3,0,0.0%,1,33.3%,0,0,0%,0,0%,13,60%,
94,2020,2020-12-20,14,15,26.202,TAM,@,ATL,W 31-27,,0.0,0,0,0,0,0,5,209,41.80,4,205,41.0,0,0.0%,3,60.0%,0,0,0%,0,0%,16,48%,
95,2020,2020-12-26,15,16,26.208,TAM,@,DET,W 47-7,,0.0,0,0,0,0,0,3,132,44.00,78,54,18.0,0,0.0%,1,33.3%,0,0,0%,0,0%,19,63%,
96,2020,2021-01-03,16,17,26.216,TAM,,ATL,W 44-27,,0.0,0,0,0,0,0,0,0,,,,,,,,,0,0,0%,0,0%,16,57%,
97,2021,2021-09-09,1,1,27.100,TAM,,DAL,W 31-29,,0.0,0,0,0,0,0,4,197,49.25,14,183,45.8,0,0.0%,3,75.0%,0,0,0%,0,0%,16,47%,
98,2021,2021-09-19,2,2,27.110,TAM,,ATL,W 48-25,,0.0,0,0,0,0,0,4,189,47.25,11,178,44.5,0,0.0%,2,50.0%,0,0,0%,0,0%,19,63%,
99,2021,2021-09-26,3,3,27.117,TAM,@,LAR,L 24-34,,0.0,0,0,0,0,0,4,145,36.25,9,136,34.0,0,0.0%,1,25.0%,0,0,0%,0,0%,14,47%,
