Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
52,2024,2024-09-08,1,1,26.055,ATL,,PIT,L 10-18,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,2,28,14.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,23,92%,
53,2024,2024-09-16,2,2,26.063,ATL,@,PHI,W 22-21,,0,0,,0,0,0,0,,0,0.0%,,1,22,22.00,0,1,11,11.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3%,0,0%,18,82%,
54,2024,2024-09-22,3,3,26.069,ATL,,KAN,L 17-22,,0,0,,0,0,0,0,,0,0.0%,,1,28,28.00,0,2,12,6.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,21,88%,
55,2024,2024-09-29,4,4,26.076,ATL,,NOR,W 26-24,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,22,79%,
56,2024,2024-10-03,5,5,26.080,ATL,,TAM,W 36-30,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,23,72%,
57,2024,2024-10-13,6,6,26.090,ATL,@,CAR,W 38-20,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,2,14,7.00,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4%,0,0%,21,78%,
58,2024,2024-10-20,7,7,26.097,ATL,,SEA,L 14-34,,0,0,,0,0,0,0,,0,0.0%,,1,21,21.00,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,23,88%,
59,2024,2024-10-27,8,8,26.104,ATL,@,TAM,W 31-26,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,1,14,14.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,21,78%,
60,2024,2024-11-03,9,9,26.111,ATL,,DAL,W 27-21,,0,0,,0,0,0,0,,0,0.0%,,2,53,26.50,0,1,5,5.00,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5%,0,0%,22,85%,
61,2024,2024-11-10,10,10,26.118,ATL,@,NOR,L 17-20,,0,0,,0,0,0,0,,0,0.0%,,3,86,28.67,0,1,8,8.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,21,78%,
62,2024,2024-11-17,11,11,26.125,ATL,@,DEN,L 6-38,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,2,22,11.00,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,24,92%,
