Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
70,2023,2023-10-01,4,4,28.221,ATL,@,JAX,L 7-23,*,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,0,0,0,58,100%,0,0%,1,5%,
71,2023,2023-10-08,5,5,28.228,ATL,,HOU,W 21-19,*,,,,,,0.0%,,,,,,,,,,,,,,36,47%,0,0%,1,3%,
72,2023,2023-10-15,6,6,28.235,ATL,,WAS,L 16-24,*,,,,,,0.0%,,,,,,,,,,,,,,83,100%,0,0%,2,8%,
73,2023,2023-10-22,7,7,28.242,ATL,@,TAM,W 16-13,*,,,,,,0.0%,,,,,,,,,,,,,,65,100%,0,0%,4,19%,
74,2023,2023-10-29,8,8,28.249,ATL,@,TEN,L 23-28,*,,,,,,0.0%,,,,,,,,,,,,,,68,100%,0,0%,5,14%,
75,2023,2023-11-05,9,9,28.256,ATL,,MIN,L 28-31,*,,,,,,0.0%,,,,,,,,,,,,,,69,100%,0,0%,6,18%,
76,2023,2023-11-12,10,10,28.263,ATL,@,ARI,L 23-25,*,,,,,,0.0%,,,,,,,,,,,,,,71,100%,0,0%,3,12%,
77,2023,2023-11-26,11,12,28.277,ATL,,NOR,W 24-15,*,,,,,,0.0%,,,,,,,,,,,,,,62,100%,0,0%,4,17%,
78,2023,2023-12-03,12,13,28.284,ATL,@,NYJ,W 13-8,*,,,,,,0.0%,,,,,,,,,,,,,,15,22%,0,0%,0,0%,
79,2023,2023-12-10,13,14,,ATL,,TAM,L 25-29,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
80,2023,2023-12-17,14,15,,ATL,@,CAR,L 7-9,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
81,2023,2023-12-24,15,16,,ATL,,IND,W 29-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
82,2023,2023-12-31,16,17,28.312,ATL,@,CHI,L 17-37,*,,,,,,0.0%,,,,,,,,,,,,,,59,100%,0,0%,5,16%,
83,2023,2024-01-07,17,18,28.319,ATL,@,NOR,L 17-48,*,,,,,,0.0%,,,,,,,,,,,,,,61,100%,0,0%,3,9%,
84,2024,2024-09-08,1,1,29.199,ATL,,PIT,L 10-18,*,,,,,,0.0%,,,,,,,,,,,,,,56,100%,0,0%,2,8%,
85,2024,2024-09-16,2,2,29.207,ATL,@,PHI,W 22-21,*,,,,,,0.0%,,,,,,,,,,,,,,61,100%,0,0%,4,18%,
86,2024,2024-09-22,3,3,29.213,ATL,,KAN,L 17-22,*,,,,,,0.0%,,,,,,,,,,,,,,15,25%,0,0%,1,4%,
87,2024,2024-09-29,4,4,,ATL,,NOR,W 26-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
88,2024,2024-10-03,5,5,29.224,ATL,,TAM,W 36-30,*,,,,,,0.0%,,,,,,,,,,,,,,87,100%,0,0%,9,28%,
89,2024,2024-10-13,6,6,29.234,ATL,@,CAR,W 38-20,*,,,,,,0.0%,,,,,,,,,,,,,,70,100%,0,0%,6,22%,
90,2024,2024-10-20,7,7,29.241,ATL,,SEA,L 14-34,*,,,,,,0.0%,,,,,,,,,,,,,,73,100%,0,0%,3,12%,
91,2024,2024-10-27,8,8,29.248,ATL,@,TAM,W 31-26,*,,,,,,0.0%,,,,,,,,,,,,,,62,100%,0,0%,6,22%,
92,2024,2024-11-03,9,9,29.255,ATL,,DAL,W 27-21,*,,,,,,0.0%,,,,,,,,,,,,,,57,100%,0,0%,4,15%,
93,2024,2024-11-10,10,10,29.262,ATL,@,NOR,L 17-20,*,,,,,,0.0%,,,,,,,,,,,,,,78,100%,0,0%,6,22%,
94,2024,2024-11-17,11,11,29.269,ATL,@,DEN,L 6-38,*,,,,,,0.0%,,,,,,,,,,,,,,59,100%,0,0%,2,8%,
