Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
64,2021,2022-01-02,16,17,24.325,KAN,@,CIN,L 31-34,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0%,1,1%,15,52%,
65,2021,2022-01-08,17,18,24.331,KAN,@,DEN,W 28-24,,0,0,,0,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,19,35%,10,40%,
66,2022,2022-09-11,1,1,25.212,DET,,PHI,L 35-38,,0,0,,0,0,0,,0,0,0,0.0,1,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,52,68%,3,10%,
67,2022,2022-09-18,2,2,25.219,DET,,WAS,W 36-27,*,0,0,,0,0,0,,0,0,0,0.0,5,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,67,91%,1,3%,
68,2022,2022-09-25,3,3,25.226,DET,@,MIN,L 24-28,,0,0,,0,0,0,,0,0,0,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,44,61%,10,36%,
69,2022,2022-10-02,4,4,25.233,DET,,SEA,L 45-48,,0,0,,0,0,0,,0,0,0,0.0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,38,54%,9,27%,
70,2022,2022-10-09,5,5,25.240,DET,@,NWE,L 0-29,,0,0,,0,0,0,,0,0,0,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,27,45%,12,63%,
71,2022,2022-10-23,6,7,25.254,DET,@,DAL,L 6-24,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0%,0,0%,3,14%,
72,2022,2022-10-30,7,8,,DET,,MIA,L 27-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
73,2022,2022-11-06,8,9,25.268,DET,,GNB,W 15-9,*,0,0,,0,0,0,,0,0,0,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,39,53%,0,0%,
74,2022,2022-11-13,9,10,25.275,DET,@,CHI,W 31-30,*,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,30,49%,0,0%,
75,2022,2022-11-20,10,11,25.282,DET,@,NYG,W 31-18,,0,0,,0,0,0,,0,0,0,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,36,47%,4,15%,
76,2022,2022-11-24,11,12,25.286,DET,,BUF,L 25-28,*,0,0,,0,0,0,,0,0,0,0.0,2,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,72,94%,0,0%,
77,2022,2022-12-04,12,13,25.296,DET,,JAX,W 40-14,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0%,0,0%,3,12%,
78,2022,2022-12-11,13,14,25.303,DET,,MIN,W 34-23,*,0,0,,0,0,0,,0,0,0,0.0,6,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0%,63,97%,6,21%,
79,2022,2022-12-18,14,15,25.310,DET,@,NYJ,W 20-17,,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,16,57%,
80,2022,2022-12-24,15,16,25.316,DET,@,CAR,L 23-37,,0,0,,0,0,0,,0,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,24,35%,16,55%,
81,2022,2023-01-01,16,17,25.324,DET,,CHI,W 41-10,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,34,65%,10,33%,
